bin,n,score_min,score_max,score_mean,mean_outcome,median_outcome,p_positive,pf,mean_raw_R
1,55869,-0.55,0.075,-0.0802775242084161,-0.021075613174042877,-0.849149828741268,0.3041042438561635,0.9664743496557909,-0.10744618246370675
2,54825,0.1,0.25,0.18087642498860007,-0.03523776606933325,-0.8425436923435157,0.3024715002279982,0.9441757311013189,-0.11534753506613657
3,53438,0.275,0.4,0.3363266776451215,-0.028141648804095237,-0.8329138293551847,0.30753396459448334,0.9552268911833758,-0.105355538759859
4,52474,0.425,0.55,0.4883108777680375,-0.03012786233380138,-0.8302694796655369,0.30270229065823073,0.952395365279594,-0.10844275937313265
5,46799,0.575,0.85,0.6436339451697685,-0.008122082609888571,-0.8302694796655369,0.3165452253253275,0.9870108617624459,-0.078099301639858
