bin,n,score_min,score_max,score_mean,mean_outcome,median_outcome,p_positive,pf
1,69,-0.35,0.1,-0.0634057971014493,0.0855882220680849,-0.2742373524994513,0.42028985507246375,1.196686455319073
2,63,0.125,0.25,0.18333333333333332,0.08028870994897538,-0.3240087357147094,0.42857142857142855,1.1826048010057342
3,72,0.275,0.4,0.3423611111111111,0.17039593994825178,-0.18810134569727555,0.4861111111111111,1.397074488038495
4,63,0.425,0.525,0.4738095238095239,-0.12663850064312912,-0.4905493236620244,0.36507936507936506,0.7595400543836849
5,60,0.55,0.725,0.6116666666666666,0.298603362207155,0.1347005860477767,0.5,1.7653114219122217
