period,n,bottom_n,top_n,lift,slope,eligible,positive
2022,30436,5300,5671,0.05263957141620197,0.05553216761268673,True,True
2023,64970,12923,10788,-0.004924314946970147,-0.008880524154124969,True,False
2024,66602,17588,10957,0.028301000171056308,0.012224758655326953,True,True
2025,66664,13667,13312,0.019002556503584508,0.02386081087796866,True,True
2026,37625,8184,6108,-0.0038004794408950607,0.012832099877263239,True,False
