variant,role,verdict,base_robust,pareto_eligible,robust_pareto,dd_vs_trail_off_ok,forward_tail_vs_trail_off_ok,cross_sample_gain_vs_control,positive_historical_years,positive_forward_months,historical_positive_periods_after_top1_trim,forward_positive_periods_after_top1_trim,hist_N,hist_EV,hist_PF,hist_SumR,hist_DD,hist_R_DD,hist_top1_share_gp,hist_top5_share_gp,hist_SumR_ex_top5,fwd_N,fwd_EV,fwd_PF,fwd_SumR,fwd_DD,fwd_R_DD,fwd_top1_share_gp,fwd_top5_share_gp,fwd_SumR_ex_top5
CONTROL_A2P5_G0P5,CONTROL_ANCHOR,BASE_ROBUST_ONLY,True,False,False,True,True,False,4,4,4,2,2967,0.026906407582232342,1.105187942912335,79.83131129648336,20.46918397243448,3.9000729781895997,0.005062257960340994,0.023312543805401754,60.27742414307302,316,0.04636874568363749,1.188897611414058,14.652523636029446,9.587359830977178,1.5283168561887606,0.0279972869700217,0.11835399174626171,3.737785295237135
A3P5_G0P5,CANDIDATE,ROBUST_PARETO,True,True,True,True,True,True,5,5,5,3,2946,0.03410206607557573,1.133442830390611,100.46468665864609,21.055173417476027,4.771496518535406,0.0054879590221299495,0.025460975781460612,78.73803244298907,314,0.07059825472666176,1.2857766292600443,22.167851984171794,9.933105563149681,2.2317141243732648,0.037495936407456756,0.1593174321160307,6.2777849627217694
A5P0_G0P5,CANDIDATE,ROBUST_PARETO,True,True,True,True,True,True,4,6,4,3,2940,0.03681195070140383,1.1448010584052395,108.22713506212726,33.14444622875535,3.2653173420116435,0.010463409423365305,0.03474312114155151,78.49930027236843,312,0.08942835075385128,1.35969376685545,27.901645435201598,9.299532770080571,3.0003276643069303,0.043558256915795575,0.18857098530285615,8.012648514460157
A2P5_G1P0,CANDIDATE,BASE_ROBUST_ONLY,True,False,False,True,True,False,4,4,4,2,2959,0.023340834822555896,1.0916146697774567,69.0655302399429,28.479585675111228,2.425089010346818,0.01047427146836375,0.03266828351654874,42.181646462405894,314,0.038496474492918535,1.1558309445690422,12.087892990776421,10.254026497643778,1.1788435492685765,0.037993649324015305,0.16755218982805964,-2.9345764511528394
A3P5_G1P0,CANDIDATE,FAILED_BASE_ROBUSTNESS,False,False,False,True,True,True,5,3,3,3,2946,0.029211305442154337,1.1146152011400463,86.05650583258668,22.276876941599873,3.86304175662454,0.010299664295151842,0.033145309893694776,58.31765066551249,312,0.04929123110713668,1.1982564638664657,15.378864105426644,10.26643889648303,1.4979745421457653,0.06009753618009033,0.19178084701770037,-2.447054385798481
A5P0_G1P0,CANDIDATE,ROBUST_PARETO,True,True,True,True,True,True,4,6,3,3,2940,0.03058106684229445,1.1202916651128934,89.90833651634568,33.74275592500782,2.6645226227568384,0.010294232862677841,0.035398764116980605,60.26796584772421,312,0.08737149209688545,1.3514207837133405,27.25990553422826,9.203452914294484,2.9619215514091586,0.05328633543164233,0.20103070506889525,6.185763966975511
TRAIL_OFF,TRAIL_OFF_ANCHOR,PARETO_ELIGIBLE,True,True,False,True,True,True,5,6,3,3,2936,0.03699678767298025,1.1450633762878806,108.62256860787002,34.809296645575074,3.1205045512368326,0.018958963201199542,0.0740899732511927,45.09660674721097,312,0.2168189599970708,1.8720772304264923,67.64751551908608,12.208842103629177,5.540862511357839,0.285291534941062,0.4736381450252009,-1.133302434156903
