period,variant,N_control,N_variant,frequency_ratio,delta_N,removed_signal_count,added_signal_count,common_signal_count,removed_trade_sumR,added_trade_sumR,common_signal_outcome_deltaR,full_sequence_deltaR
historical,A3P5_G0P5,2967,2946,0.9929221435793731,-21,34,13,2933,1.833556173115963,8.511512180001539,13.955419355277144,20.633375362162724
historical,A5P0_G0P5,2967,2940,0.9908998988877654,-27,53,26,2914,-0.0493092097360264,14.527555574779843,13.818958981128048,28.395823765643897
historical,A2P5_G1P0,2967,2959,0.9973036737445231,-8,17,9,2950,-3.973960079574637,2.398126490945415,-17.1378676270605,-10.765781056540462
historical,A3P5_G1P0,2967,2946,0.9929221435793731,-21,36,15,2931,-0.20354216179478057,9.135613115882224,-3.1139607415736967,6.2251945361033165
historical,A5P0_G1P0,2967,2940,0.9908998988877654,-27,53,26,2914,-0.0493092097360264,13.527555574779825,-3.4998395646535325,10.077025219862321
historical,TRAIL_OFF,2967,2936,0.989551735760027,-31,59,28,2908,-0.7520444548009704,7.099777563953388,20.939435292632297,28.79125731138666
historical,V192_CANONICAL_CONTROL,2967,1147,0.38658577687900236,-1820,2963,1143,4,81.6922703291983,130.81591435671825,2.77000227143695,51.893646298956924
2026,A3P5_G0P5,316,314,0.9936708860759493,-2,4,2,312,1.1819724695907388,-0.9407070512256419,9.638007868958733,7.515328348142347
2026,A5P0_G0P5,316,312,0.9873417721518988,-4,7,3,309,4.996273842925719,-0.8516929588295399,19.097088600927414,13.249121799172151
2026,A2P5_G1P0,316,314,0.9936708860759493,-2,5,3,311,2.9783739759908374,-0.8516929588295399,1.2654362895673512,-2.5646306452530254
2026,A3P5_G1P0,316,312,0.9873417721518988,-4,7,3,309,4.996273842925719,-0.8516929588295399,6.574307271152461,0.7263404693971971
2026,A5P0_G1P0,316,312,0.9873417721518988,-4,7,3,309,4.996273842925719,-0.8516929588295399,18.455348699954072,12.607381898198813
2026,TRAIL_OFF,316,312,0.9873417721518988,-4,7,3,309,4.996273842925719,-0.8516929588295399,58.8429586848119,52.99499188305664
2026,V192_CANONICAL_CONTROL,316,135,0.4272151898734177,-181,314,133,2,14.483200028687982,24.546236152971538,1.784884600228628,11.847920724512186
