period,variant,N,WR,EV,PF,SumR,MaxDD_R,R_DD,MaxConsecutiveLosses,median_hold_min,p90_hold_min,max_trade_R,top1_share_gross_positive,top5_share_gross_positive,SumR_ex_top1,SumR_ex_top5,positive_periods_after_top1_trim
historical,CONTROL_A2P5_G0P5,2967,0.7280080889787665,0.026906407582232342,1.105187942912335,79.83131129648336,20.46918397243448,3.9000729781895997,6,26.0,101.0,4.246075491556813,0.005062257960340994,0.023312543805401754,75.58523580492655,60.27742414307302,4
historical,A3P5_G0P5,2946,0.7281059063136456,0.03410206607557573,1.133442830390611,100.46468665864609,21.055173417476027,4.771496518535406,6,27.0,113.0,4.683048640670459,0.0054879590221299495,0.025460975781460612,95.78163801797562,78.73803244298907,5
historical,A5P0_G0P5,2940,0.7295918367346939,0.03681195070140383,1.1448010584052395,108.22713506212726,33.14444622875535,3.2653173420116435,6,28.0,122.0,8.95298109251905,0.010463409423365305,0.03474312114155151,99.27415396960821,78.49930027236843,4
historical,A2P5_G1P0,2959,0.7289624873267996,0.023340834822555896,1.0916146697774567,69.0655302399429,28.479585675111228,2.425089010346818,6,26.0,105.0,8.619647759185714,0.01047427146836375,0.03266828351654874,60.44588248075719,42.181646462405894,4
historical,A3P5_G1P0,2946,0.7287847929395791,0.029211305442154337,1.1146152011400463,86.05650583258668,22.276876941599873,3.86304175662454,6,27.0,113.5,8.619647759185714,0.010299664295151842,0.033145309893694776,77.43685807340097,58.31765066551249,3
historical,A5P0_G1P0,2940,0.7295918367346939,0.03058106684229445,1.1202916651128934,89.90833651634568,33.74275592500782,2.6645226227568384,6,28.0,123.0,8.619647759185714,0.010294232862677841,0.035398764116980605,81.28868875715997,60.26796584772421,3
historical,TRAIL_OFF,2936,0.728882833787466,0.03699678767298025,1.1450633762878806,108.62256860787002,34.809296645575074,3.1205045512368326,6,28.5,143.0,16.255726927498284,0.018958963201199542,0.0740899732511927,92.36684168037173,45.09660674721097,3
historical,V192_CANONICAL_CONTROL,1147,0.44725370531822145,0.11484303190535335,1.238697793391438,131.7249575954403,16.86443455010641,7.810813769300622,11,929.0,1440.0,2.221351509552483,0.0032496176146780405,0.016246832700132052,129.5036060858878,120.61905818719234,5
2026,CONTROL_A2P5_G0P5,316,0.7468354430379747,0.04636874568363749,1.188897611414058,14.652523636029446,9.587359830977178,1.5283168561887606,4,24.025,99.04166666666666,2.5819413187600655,0.0279972869700217,0.11835399174626171,12.07058231726938,3.737785295237135,2
2026,A3P5_G0P5,314,0.7452229299363057,0.07059825472666176,1.2857766292600443,22.167851984171794,9.933105563149681,2.2317141243732648,4,24.608333333333334,104.44666666666666,3.7397849979943563,0.037495936407456756,0.1593174321160307,18.428066986177438,6.2777849627217694,3
2026,A5P0_G0P5,312,0.7435897435897436,0.08942835075385128,1.35969376685545,27.901645435201598,9.299532770080571,3.0003276643069303,4,26.233333333333334,107.99833333333335,4.59418524159348,0.043558256915795575,0.18857098530285615,23.30746019360812,8.012648514460157,3
2026,A2P5_G1P0,314,0.7452229299363057,0.038496474492918535,1.1558309445690422,12.087892990776421,10.254026497643778,1.1788435492685765,4,24.125,98.79166666666666,3.4064516646610397,0.037993649324015305,0.16755218982805964,8.681441326115381,-2.9345764511528394,2
2026,A3P5_G1P0,312,0.7435897435897436,0.04929123110713668,1.1982564638664657,15.378864105426644,10.26643889648303,1.4979745421457653,4,24.608333333333334,104.6266666666667,5.586031129432171,0.06009753618009033,0.19178084701770037,9.792832975994472,-2.447054385798481,3
2026,A5P0_G1P0,312,0.7435897435897436,0.08737149209688545,1.3514207837133405,27.25990553422826,9.203452914294484,2.9619215514091586,4,26.233333333333334,107.99833333333335,5.586031129432171,0.05328633543164233,0.20103070506889525,21.673874404796088,6.185763966975511,3
2026,TRAIL_OFF,312,0.7435897435897436,0.2168189599970708,1.8720772304264923,67.64751551908608,12.208842103629177,5.540862511357839,4,26.958333333333336,135.81000000000003,41.42948648559205,0.285291534941062,0.4736381450252009,26.218029033494034,-1.133302434156903,3
2026,V192_CANONICAL_CONTROL,135,0.4666666666666667,0.19629958785586393,1.4313396751426626,26.500444360541632,6.489289729509487,4.083720324588551,7,908.85,1440.0,2.220454680439625,0.025250236761169265,0.12620988376741715,24.279989680102005,15.401802800076311,3
