feature,bad_n,good_n,bad_mean,good_mean,bad_median,good_median,rbc,p,q_bh
downside_extension_72h_atr,133,194,12.563281280373337,10.90191184757018,10.708855047941421,9.404937750035486,0.1289047360669715,0.047742739581990636,0.15914246527330211
bear_trend_eff_24h,133,194,0.06928584794853401,0.07038449212844534,0.06728980876531986,0.06649123693938536,-0.018060615456166218,0.7818926212005215,0.8687695791116905
flow_persist_12h,133,194,0.6458333333333334,0.6300015537032975,0.625,0.6458333333333334,0.026199519417099415,0.6876322167615212,0.8595402709519016
bear_trend_24h_atr,133,194,2.8848463073257054,3.1054008199906695,2.9361654555618246,2.8076912625240844,-0.0015502674211301803,0.9814748103056636,0.9814748103056636
bear_trend_72h_atr,133,194,3.1267615272673757,0.5212333780809993,2.4696046817150505,1.0262743589848191,0.14595767769940315,0.024985939642953377,0.1461774034473695
downside_extension_24h_atr,133,194,7.889272688191756,7.563708580468334,7.133452649599233,6.9601637678540484,0.05805751492132383,0.37277384704935557,0.532534067213365
atr_rank_90d,133,194,0.5028787245892509,0.5698693056301047,0.5094907407407407,0.5910300925925926,-0.141965739089993,0.029235480689473903,0.1461774034473695
flow_persist_3h,133,194,0.6760651629072683,0.7379725085910652,0.8333333333333334,0.9166666666666666,-0.11045655375552288,0.07962341936744102,0.15924683873488205
oi_logchg_3h,133,193,-0.0016140122852043436,0.0028061521190815095,0.0005667634422703571,0.0010180767070941954,-0.09252405625462623,0.15582225035336802,0.25970375058894674
oi_logchg_12h,133,194,-0.0005162694372978457,0.005745809164792647,-0.0017661536442332704,0.0039097963620129406,-0.11820789086117356,0.069473943458238,0.15924683873488205
