feature,n,rho,p,q_bh
downside_extension_72h_atr,327,-0.06022160843547987,0.2775624225665523,0.5994377625975748
bear_trend_eff_24h,327,0.025586967891967436,0.6448011737547383,0.8433795231706047
flow_persist_12h,327,-0.0508172245726109,0.3596626575585449,0.5994377625975748
bear_trend_24h_atr,327,-0.01780568799102749,0.7483807440852892,0.8433795231706047
bear_trend_72h_atr,327,0.001430440375209178,0.9794425333884935,0.9794425333884934
downside_extension_24h_atr,327,-0.08176229705112383,0.1401242478639691,0.5994377625975748
atr_rank_90d,327,0.23153515194064128,2.3530976469876135e-05,0.00023530976469876135
flow_persist_3h,327,-0.0170267114928031,0.7590415708535442,0.8433795231706047
oi_logchg_3h,326,0.06171285572647648,0.26655375820774874,0.5994377625975748
oi_logchg_12h,327,0.055254534646995604,0.3191964521987754,0.5994377625975748
