flow_id,signal_time,entry_time,regime_time,net_r_5bps,exit_reason,period,period_state,downside_extension_72h_atr,bear_trend_eff_24h,flow_persist_12h,bear_trend_24h_atr,bear_trend_72h_atr,downside_extension_24h_atr,atr_rank_90d,flow_persist_3h,oi_logchg_3h,oi_logchg_12h
79,2021-02-10 08:00:00+00:00,2021-02-10 12:30:00+00:00,2021-02-10 12:15:00+00:00,-1.0285851401710768,SL,2021,GOOD,5.351227153257636,0.013401368612614149,0.8541666666666666,0.678502663288187,-19.894129806720297,3.588479932279351,0.8038528896672504,1.0,-0.01909218924411782,0.038454648582172624
85,2021-02-13 09:00:00+00:00,2021-02-13 11:00:00+00:00,2021-02-13 10:45:00+00:00,-1.0309386885207088,SL,2021,GOOD,7.426871694226693,0.05562781406261186,0.5208333333333334,2.117259917055621,0.02344944559233234,4.4987109995410846,0.7192318474908888,0.6666666666666666,-0.008368744899470926,-0.006356575839701506
88,2021-02-14 23:15:00+00:00,2021-02-15 01:30:00+00:00,2021-02-15 01:15:00+00:00,1.4573615932225985,TP,2021,GOOD,5.2691236667417956,-0.0523893029373083,0.6666666666666666,-2.4003276646381515,-0.5398905037843884,5.2691236667417956,0.6142974753018661,0.9166666666666666,-0.006229473646234496,-0.030508561078804064
98,2021-02-20 13:15:00+00:00,2021-02-20 22:30:00+00:00,2021-02-20 22:15:00+00:00,-1.028914668421548,SL,2021,GOOD,4.843250626768407,-0.022408461713673524,0.6458333333333334,-1.1773022869093448,-11.188900153987781,4.843250626768407,0.706444218033622,0.08333333333333333,-0.013249080329824636,-0.03382718032890786
101,2021-02-22 01:15:00+00:00,2021-02-22 03:45:00+00:00,2021-02-22 03:30:00+00:00,1.4720253926874505,TP,2021,GOOD,5.086951606984784,0.017458544356069344,0.625,0.6073099938958801,-12.08535688261818,5.086951606984784,0.839754046931861,1.0,-0.012375224967632548,-0.0362784991439451
128,2021-03-08 04:15:00+00:00,2021-03-08 07:45:00+00:00,2021-03-08 07:30:00+00:00,-1.0267654724828217,SL,2021,GOOD,6.741594431310741,-0.01644328900530138,0.8333333333333334,-0.74576438140267,-8.653697136853156,6.741594431310741,0.5197916666666667,1.0,0.022055912047916237,-0.02106868059
139,2021-03-14 10:45:00+00:00,2021-03-14 11:00:00+00:00,2021-03-14 10:45:00+00:00,-0.1884400539894383,TIME,2021,GOOD,5.530569588523406,-0.061025740022086584,0.16666666666666666,-3.094890285758371,-17.35648708752722,5.530569588523406,0.37997685185185187,0.5,0.020849081703410377,0.026752147630508816
155,2021-03-22 19:45:00+00:00,2021-03-22 19:45:00+00:00,2021-03-22 19:30:00+00:00,1.4720519537537349,TP,2021,GOOD,10.148768806078222,0.1061918642975373,0.6458333333333334,3.7305819086721974,7.478274453874799,6.423024190139418,0.6701388888888888,0.4166666666666667,0.009080462775209241,0.03615214381926357
159,2021-03-24 19:45:00+00:00,2021-03-24 20:00:00+00:00,2021-03-24 19:45:00+00:00,1.4699934338844496,TP,2021,GOOD,10.241752436074588,0.016881350913038246,0.3541666666666667,0.7363046576681906,7.669170916531784,6.74994233851333,0.5875,0.8333333333333334,0.0056130801665226215,0.07017382748242262
188,2021-04-10 15:45:00+00:00,2021-04-10 20:45:00+00:00,2021-04-10 20:30:00+00:00,-1.047956388735735,SL,2021,GOOD,9.338970023059177,-0.08468610000949542,0.9583333333333334,-3.770484242890088,-12.261990776325892,9.338970023059177,0.24131944444444445,1.0,-0.0070905581891800296,-0.00463557380512114
