signal_ts,confirm_ts,entry_ts,side,atr,entry,signal_to_confirm_s,confirm_to_entry_s,mfe_1h,mae_1h,tmfe_1h,tmae_1h,mfe_3h,mae_3h,tmfe_3h,tmae_3h,mfe_6h,mae_6h,tmfe_6h,tmae_6h,mfe_12h,mae_12h,tmfe_12h,tmae_12h,mfe_24h,mae_24h,tmfe_24h,tmae_24h,fav0.25_before_mae1,fav0.5_before_mae1,fav1.0_before_mae1,fav1.5_before_mae1,fav2.0_before_mae1,fav3.0_before_mae1
1772373300,1772373310,1772373996,-1,193.30000000000084,67182.555,10,686,2.4814019658561652,0.5041127780652176,2189,22,7.271365752715918,0.5041127780652176,9847,22,7.76645111226065,0.5041127780652176,11537,22,11.234117951370841,0.5041127780652176,31351,22,11.234117951370841,0.5041127780652176,31351,22,1,1,1,1,1,1
1772374200,1772374248,1772374388,-1,253.4357142857147,67105.0025,48,140,1.5866055071728826,0.08758631380173224,1797,2,5.239997463431132,0.45020292550944063,9455,3844,6.860921338181008,0.45020292550944063,21578,3844,8.26246018996082,0.45020292550944063,30959,3844,8.26246018996082,0.45020292550944063,30959,3844,1,1,1,1,1,1
1772460900,1772461190,1772461696,-1,270.57142857142753,65614.8,290,506,0.33928194297783676,11.687117212249243,73,3419,0.33928194297783676,16.576768743400265,73,8322,0.33928194297783676,16.576768743400265,73,8322,0.33928194297783676,16.576768743400265,73,8322,0.33928194297783676,16.576768743400265,73,8322,1,0,0,0,0,0
1772462100,1772462103,1772462379,-1,278.25714285714224,66319.59,3,276,0.5171116131019602,10.926619776157754,50,3598,0.5171116131019602,13.586030393264238,50,7639,0.5171116131019602,13.586030393264238,50,7639,0.5171116131019602,13.586030393264238,50,7639,0.5171116131019602,13.586030393264238,50,7639,1,1,0,0,0,0
1772462400,1772462420,1772462525,-1,278.25714285714224,66405.09,20,105,0.30292124448093055,10.878103501386216,90,3467,0.30292124448093055,13.278760653044502,90,7493,0.30292124448093055,13.278760653044502,90,7493,0.30292124448093055,13.278760653044502,90,7493,0.48297053085532293,13.278760653044502,67790,7493,1,0,0,0,0,0
1772466300,1772467744,1772468915,1,545.8857142857117,69281.54000000001,1444,1171,1.4993248194284439,0.5157489793782232,1103,573,1.4993248194284439,1.39542028682091,1103,9789,1.4993248194284439,1.39542028682091,1103,9789,1.4993248194284439,2.0873233539202483,1103,35592,1.4993248194284439,5.864853972574103,1103,80451,1,1,1,0,0,0
1772494500,1772494660,1772495122,1,296.557142857142,68708.60499999998,160,462,1.4283756442989153,0.3662194710727259,3376,2268,1.7298352521798648,1.9102726528252034,5236,9385,1.7298352521798648,2.386066284503051,5236,19188,1.7298352521798648,8.220692229876168,5236,35193,1.7298352521798648,8.86373861939396,5236,54244,1,1,1,1,0,0
1772517300,1772517369,1772517666,-1,238.0785714285708,68002.1275,69,297,1.0186868080765534,1.0327367915754033,2886,3259,4.824573220125432,1.1738666706669645,10579,7828,7.272504575320314,1.1738666706669645,12649,7828,8.073500645045184,4.077529927094873,31700,37505,8.073500645045184,4.077529927094873,31700,37505,1,1,1,0,0,0
1772517900,1772518391,1772518995,-1,224.1857142857147,67944.165,491,604,0.8232683362007978,1.4275441279551522,1557,3174,4.955556617600179,1.5051583508571218,9721,6499,7.464637099343626,1.5051583508571218,11320,6499,8.315271139998682,4.588762505575728,30371,36176,8.315271139998682,4.588762505575728,30371,36176,1,1,0,0,0,0
1772519100,1772520550,1772520656,-1,228.92857142857142,67932.625,1450,106,0.22987519500780032,1.4483775351013914,26,1513,7.259578783151339,1.5243837753510396,9659,4838,7.259578783151339,1.5243837753510396,9659,4838,8.092589703588144,4.544102964118539,28710,34515,8.092589703588144,4.544102964118539,28710,34515,0,0,0,0,0,0
1772521200,1772521322,1772522102,-1,235.3785714285706,68152.38249999999,122,780,0.895079355445618,0.5489773313507704,3592,3392,7.994281249051688,0.5489773313507704,8213,3392,7.994281249051688,0.5489773313507704,8213,3392,8.804465450793552,3.4859481686037888,27264,33069,8.804465450793552,3.4859481686037888,27264,33069,1,1,1,1,1,1
1772528700,1772528714,1772528758,-1,291.50714285714326,67031.12750000002,14,44,2.608606748180702,0.43179902477267434,1557,159,2.608606748180702,0.7405393153805983,1557,10792,3.2627931195021485,3.3236664134668947,20608,11197,3.2627931195021485,6.6611489549385325,20608,26413,3.2627931195021485,14.3010989684153,20608,85899,1,1,1,1,1,0
1772611200,1772611246,1772611425,1,353.4285714285735,69340.8,46,179,5.260468876313623,0.68075990299112,3232,1098,7.206831042845527,0.68075990299112,6467,1098,7.206831042845527,0.68075990299112,6467,1098,13.314430072756583,0.68075990299112,40137,1098,13.314430072756583,0.68075990299112,40137,1098,1,1,1,1,1,1
1772611500,1772611532,1772612297,1,353.4285714285735,69238.7,32,765,6.398181083265937,0.39187550525464604,3567,226,7.495715440582002,0.39187550525464604,5595,226,7.774696847210957,0.39187550525464604,21541,226,13.603314470493057,0.39187550525464604,39265,226,13.603314470493057,0.39187550525464604,39265,226,1,1,1,1,1,1
1772617500,1772617881,1772617973,1,516.4214285714303,71550.35250000001,381,92,0.5686198979238817,0.7653681240404452,977,3358,0.5686198979238817,1.9183024661475414,977,9487,2.97111509149501,1.9183024661475414,20306,9487,4.833547490283375,1.9183024661475414,33589,9487,4.833547490283375,1.9183024661475414,33589,9487,1,1,0,0,0,0
1772685000,1772685108,1772685878,-1,316.46428571428675,72876.96250000001,108,770,1.7694334725200533,0.578382801038228,3528,54,2.7708102922920665,0.578382801038228,5239,54,3.667593951021336,1.948205620133134,13320,21016,6.710591355377494,2.0922977090621666,41201,22248,8.420736937140259,2.0922977090621666,86211,22248,1,1,1,1,1,1
1772702100,1772702299,1772702476,-1,340.37857142856853,72695.63249999999,199,177,0.94815751369274,0.4917098608692267,1866,916,0.94815751369274,2.4780276163096318,1866,5650,3.5382148028455704,2.4780276163096318,21429,5650,6.119164585650452,2.4780276163096318,30587,5650,7.625722409921768,2.4780276163096318,73699,5650,1,1,0,0,0,0
1772762100,1772763609,1772763947,-1,263.00714285714224,71245.65250000001,1509,338,1.1051125716303642,0.5393294587327475,3193,13,3.9297506857500086,0.5393294587327475,8142,13,4.35597485130773,0.5393294587327475,12228,13,10.058861790825931,0.5393294587327475,42247,13,13.434435512343562,0.5393294587327475,55078,13,1,1,1,1,1,1
