file,bytes,sha256
C1_C4_gates.csv,317,0520ba5f06de14c8f1ba408e6b644f038ee6f6bdcb61023ab540c2c7f954ac59
C1_C4_gates.json,482,811b7a73250a9498b7509292df994aab7c22a40ed4a6f53dbbc89c05db2df0ad
C4_paired_moving_block_5000.csv.gz,255044,c67e22f07c4e6986e2153a4ce6af78640e739f8fdeec063c1068ce8264a10495
FINAL_VERDICT.json,2479,366f431e4deaa9d98971cb950db45c872cd5e1ad2934a7b5a642f4ce36532f2c
FXArena_FlagReplay_v001_2_FROZEN.md,228,a8d2d00c1cbd1576400213974ef7125166cbe6788437ca6a9296e118a4cd6762
FXArena_FlagReplay_v001_2_Report.md,2943,c1f474c41795a32c2ed6840a1ff21e986a957797c191108de5c407c10391cc65
FXArena_TBFlag_Forensic_Audit_v001.md,2045,4d6db9cbba99a34ecff7b02658e7ff09e21a199c98be5e0f2df4b987fc19069d
P0_P4b_TRAILING_monthly.csv,2689,69405d2360428b81b00ee723b890667f0945459a469602eb22a2f4cfb63272ab
P0_TRAILING_metrics.json,386,b2556a7f35d3c97b648239e08a5861a4c0581f723fe1a29b20bb3f0e824dd1ae
P4B_REPLAY_CONTROL_3535.json,348,3597743f1cfbc4028fbf56acfc2422f944dea58ea9dfb361dd727e8cea53b9f2
P4b_TRAILING_metrics.json,388,ecff289135a34f9b4ca72e70cf8130262115be549a0f544349069d26d67c23da
REGISTRY_V4_P4B_TRAILING_ROW.csv,174,424c5ab3532807d5c4dc2c5ec1085168d2d736decf7549ce867164564e52879a
SOURCE_ARTIFACTS_SHA256.csv,775,1ca45178abb55bcd9d744dcd1f903c3d966887bc4eef94d09912a3c8ef6c3bc4
TB_FLAG_CONTROL_3535.json,170,ac3a65b791612400c0dddae7cb620e053b3cb9ccafd3b71689344a182685c195
TB_FLAG_DISTRIBUTION.json,288,30abdfbd66de659066736a0ad80e5c0d669eb2d8e64a0683089ce5a4125d1f04
episode_tb_flags.csv.gz,3825797,9724cde8156c5fdcb3785eed334922c13c2cbd6576c80defa4985a0fb9011b58
paired_moving_block_sampler.py,219,b803d7716906c3c8436ab166b75481a81177451ae1850bab8c48ceeabe258cab
run_flag_replay_v0012.py,23409,358f015840c52c9c48e0049f7d475414b33132b6f5deb9ecb628dcec80385053
tb_flag_generator_v0012.py,3888,9fe84290fed743cf048b227ca4066afcf41f4244656f99d771c3ce9587f20ca5
trades_P4b_TRAILING_CANDIDATE_NOT_PINNED.csv.gz,124131,929eabd18e5ba07c67a18836c66587b5e78e45fe6818e1086136fcca0248643c
trades_P4b_TRAILING_PINNED.NOT_CREATED.md,180,f43817ac503f44b824aa31f423b1f85436842a9cca05acecb1c3bd447250cc1c
trailing_only_622_tb_flags.csv.gz,7691,d65a322fec670a0a25a4dcfa0ab11d196a2c43a336d2f099328af0c18d940ebb
