sample,n,mean_net_atr,cum_net_atr,t,pf,hit_rate,max_dd_atr,stop_rate,median_mae_atr,median_mfe_atr,long_n,short_n,window
PRIMARY,596,0.043666087521827095,26.02498816300895,0.3228167529148179,1.0392964836062584,0.27684563758389263,85.5980730130668,0.6895973154362416,1.656499804757222,1.6644296361630944,301,295,2021
PRIMARY,507,-0.28718313519970645,-145.60184954625117,-2.1816260076600025,0.7609758542743664,0.2465483234714004,145.60184954625126,0.727810650887574,1.7004684304281916,1.4068515497553102,269,238,2022
PRIMARY,546,-0.13515100165784774,-73.79244690518486,-0.7632582116970889,0.8945370022841302,0.23809523809523808,137.66581504734663,0.7289377289377289,1.7093952627648585,1.4084463011927808,257,289,2023
PRIMARY,558,-0.1936113365393909,-108.03512578898011,-1.5067043014883972,0.8376714451434154,0.25985663082437277,140.70669189758738,0.7132616487455197,1.6877802520298018,1.4690750110210244,259,299,2024
PRIMARY,246,-0.05832269489416367,-14.347382943964263,-0.26462492864666587,0.9520509732615962,0.2682926829268293,65.58806220791234,0.7195121951219512,1.6914783243460518,1.6612229731806571,122,124,2025_H1
PRIMARY,297,-0.2995465295555975,-88.96531927801246,-1.648683832498019,0.766743890646385,0.22895622895622897,126.04215965793894,0.7373737373737373,1.6983299411715884,1.4437301340726139,141,156,2025_H2
PRIMARY,300,-0.011084387038355068,-3.3253161115065204,-0.05921241569229416,0.9903607630451527,0.2833333333333333,43.922423629549584,0.6733333333333333,1.6264581940678,1.2606469124555435,142,158,2026_JAN_JUL
PRIMARY,11,-1.8349801273860449,-20.184781401246493,-25.627843920009386,0.0,0.0,20.18478140124649,1.0,2.022480005764102,0.30177175238504506,7,4,AUG2026_REUSED_AUDIT
PRIMARY,3050,-0.13378441062652144,-408.0424524108904,-2.1991517456562573,0.8885818620416477,0.25704918032786883,545.6844353748645,0.7127868852459016,1.6834201762570737,1.4644648175262815,1491,1559,ALL_PRE_AUG
PRIMARY,597,-0.1545906790444204,-92.29063538951897,-1.1847775105634892,0.8729449893937213,0.2562814070351759,129.52169835105835,0.7051926298157454,1.677228953091018,1.3921678321678037,283,314,POOLED_RECENT
