flow_id,flow_signal_time,flow_i,side,frozen_flow_signed12_atr,trigger_rule,trigger_time,trigger_i,trigger_level,entry,entry_atr,delay_bars,delay_hours
0,2021-01-01 00:00:00+00:00,46105,1,2.8212573927179885,PIVOT2X2_CONFIRMED,2021-01-01 00:30:00+00:00,46107,28706.0,28947.61,160.16428571428645,2,0.5
1,2021-01-01 12:00:00+00:00,46153,1,0.259327903750221,PIVOT2X2_CONFIRMED,2021-01-01 12:30:00+00:00,46155,29214.13,29523.76,142.69428571428605,2,0.5
2,2021-01-02 00:45:00+00:00,46204,1,12.301115173785815,PIVOT2X2_CONFIRMED,2021-01-02 04:30:00+00:00,46219,29230.0,29366.26,107.33999999999962,15,3.75
3,2021-01-02 13:00:00+00:00,46253,1,6.640365846531457,PIVOT2X2_CONFIRMED,2021-01-02 18:30:00+00:00,46275,32487.68,32842.97,395.88,22,5.5
4,2021-01-03 01:00:00+00:00,46301,-1,-6.679128988695994,PIVOT2X2_CONFIRMED,2021-01-03 03:00:00+00:00,46309,32928.16,32623.82,220.89428571428627,8,2.0
5,2021-01-03 13:00:00+00:00,46349,-1,4.305577246160768,PIVOT2X2_CONFIRMED,2021-01-03 13:30:00+00:00,46351,34439.92,34099.39,363.5007142857139,2,0.5
6,2021-01-04 01:00:00+00:00,46397,-1,4.889515959632024,PIVOT2X2_CONFIRMED,2021-01-04 02:15:00+00:00,46402,33378.0,33113.98,356.6992857142847,5,1.25
7,2021-01-04 13:00:00+00:00,46445,-1,-1.9715244878109977,PIVOT2X2_CONFIRMED,2021-01-04 17:30:00+00:00,46463,31552.0,30853.99,415.8157142857147,18,4.5
8,2021-01-05 01:00:00+00:00,46493,-1,1.8969683600675908,PIVOT2X2_CONFIRMED,2021-01-05 02:30:00+00:00,46499,32880.76,32345.52,376.42928571428666,6,1.5
9,2021-01-05 13:15:00+00:00,46542,1,7.183351753240234,PIVOT2X2_CONFIRMED,2021-01-05 14:30:00+00:00,46547,31142.74,31975.44,308.8135714285714,5,1.25
10,2021-01-06 01:15:00+00:00,46590,1,2.3778507087494014,PIVOT2X2_CONFIRMED,2021-01-06 02:00:00+00:00,46593,33555.91,34055.02,333.9771428571418,3,0.75
11,2021-01-06 13:15:00+00:00,46638,-1,-5.906072249653719,PIVOT2X2_CONFIRMED,2021-01-06 13:30:00+00:00,46639,35195.53,34513.65,389.73214285714283,1,0.25
12,2021-01-07 01:15:00+00:00,46686,1,3.328194842799139,PIVOT2X2_CONFIRMED,2021-01-07 02:45:00+00:00,46692,36532.05,37032.85,400.0785714285724,6,1.5
13,2021-01-07 13:15:00+00:00,46734,-1,-0.5307954670480968,PIVOT2X2_CONFIRMED,2021-01-07 13:45:00+00:00,46736,38497.33,38218.92,349.8471428571429,2,0.5
14,2021-01-08 01:45:00+00:00,46784,-1,-4.3965375703963225,PIVOT2X2_CONFIRMED,2021-01-08 05:15:00+00:00,46798,38983.41,38427.04,663.3150000000003,14,3.5
15,2021-01-08 13:45:00+00:00,46832,1,-1.5820806836107375,PIVOT2X2_CONFIRMED,2021-01-08 14:45:00+00:00,46836,41017.4,41560.0,550.2971428571426,4,1.0
16,2021-01-09 02:15:00+00:00,46882,-1,-2.248404263106282,PIVOT2X2_CONFIRMED,2021-01-09 02:30:00+00:00,46883,40621.47,39777.0,417.0928571428558,1,0.25
17,2021-01-09 14:15:00+00:00,46930,1,-0.5356595892794959,PIVOT2X2_CONFIRMED,2021-01-09 15:30:00+00:00,46935,40250.0,40779.99,388.4778571428573,5,1.25
18,2021-01-10 02:15:00+00:00,46978,1,-3.786331251891164,PIVOT2X2_CONFIRMED,2021-01-10 05:00:00+00:00,46989,40100.0,40500.01,324.0749999999997,11,2.75
19,2021-01-10 14:15:00+00:00,47026,1,-5.893711362942134,PIVOT2X2_CONFIRMED,2021-01-10 15:30:00+00:00,47031,39118.11,39860.71,349.5035714285711,5,1.25
20,2021-01-11 02:15:00+00:00,47074,1,-5.691910537792827,PIVOT2X2_CONFIRMED,2021-01-11 02:30:00+00:00,47075,36159.14,37102.99,642.100714285714,1,0.25
21,2021-01-11 14:15:00+00:00,47122,-1,-0.7830953906246807,PIVOT2X2_CONFIRMED,2021-01-11 15:15:00+00:00,47126,33800.0,32685.58,1070.2150000000008,4,1.0
22,2021-01-12 02:15:00+00:00,47170,1,-1.5847018365015686,PIVOT2X2_CONFIRMED,2021-01-12 02:45:00+00:00,47172,33727.32,34427.99,580.8321428571429,2,0.5
23,2021-01-12 14:15:00+00:00,47218,1,-0.2937220234220652,PIVOT2X2_CONFIRMED,2021-01-12 15:00:00+00:00,47221,32600.0,33725.36,630.0471428571426,3,0.75
24,2021-01-13 03:00:00+00:00,47269,1,0.5358462075337916,PIVOT2X2_CONFIRMED,2021-01-13 06:00:00+00:00,47281,32827.5,33564.31,492.6621428571434,12,3.0
25,2021-01-13 16:15:00+00:00,47322,1,8.179449801510133,PIVOT2X2_CONFIRMED,2021-01-13 17:00:00+00:00,47325,34421.39,34968.81,324.83071428571515,3,0.75
26,2021-01-14 04:15:00+00:00,47370,1,6.941857966913813,PIVOT2X2_CONFIRMED,2021-01-14 04:30:00+00:00,47371,36764.33,37390.0,349.75642857142833,1,0.25
27,2021-01-14 16:30:00+00:00,47419,1,-2.937588904694169,PIVOT2X2_CONFIRMED,2021-01-14 17:15:00+00:00,47422,39241.0,39815.8,391.1714285714292,3,0.75
28,2021-01-15 05:30:00+00:00,47471,-1,9.100578861059327,PIVOT2X2_CONFIRMED,2021-01-15 05:45:00+00:00,47472,38899.0,37855.49,333.975714285714,1,0.25
29,2021-01-15 17:30:00+00:00,47519,-1,-0.0807448975563161,PIVOT2X2_CONFIRMED,2021-01-15 18:30:00+00:00,47523,36470.0,35356.13,693.8792857142845,4,1.0
30,2021-01-16 05:30:00+00:00,47567,1,3.0001716777494147,PIVOT2X2_CONFIRMED,2021-01-16 06:00:00+00:00,47569,35528.72,36133.77,406.1950000000002,2,0.5
31,2021-01-16 17:30:00+00:00,47615,-1,3.6851795516169537,PIVOT2X2_CONFIRMED,2021-01-16 18:45:00+00:00,47620,37208.87,36528.97,354.716428571429,5,1.25
32,2021-01-17 05:30:00+00:00,47663,1,0.044752067207349,PIVOT2X2_CONFIRMED,2021-01-17 06:45:00+00:00,47668,35043.51,35404.84,327.3885714285726,5,1.25
33,2021-01-17 17:30:00+00:00,47711,-1,1.1734687499326557,PIVOT2X2_CONFIRMED,2021-01-17 18:30:00+00:00,47715,35959.3,35727.42,271.9150000000009,4,1.0
34,2021-01-18 05:30:00+00:00,47759,1,1.1102354817525226,PIVOT2X2_CONFIRMED,2021-01-18 07:15:00+00:00,47766,35092.47,36067.57,313.4392857142848,7,1.75
35,2021-01-18 17:30:00+00:00,47807,-1,-1.6975590893326302,PIVOT2X2_CONFIRMED,2021-01-19 02:15:00+00:00,47842,37420.0,36898.76,303.76428571428653,35,8.75
