Index,flow_id,flow_signal_time,flow_i,side,frozen_flow_signed12_atr,trigger_rule,trigger_time,trigger_i,trigger_level,entry,entry_atr,delay_bars,delay_hours,exit_time,stopped,gross_atr,cost_atr,net_atr,mae_atr,mfe_atr,sample
0,0,2021-01-01 00:00:00+00:00,46105,1,2.8212573927179885,SWEEP_RECLAIM_4,2021-01-01 06:30:00+00:00,46131,29120.46,29216.85,119.48357142857094,26,6.5,2021-01-01 18:30:00+00:00,False,-2.634504444723424,0.12226304273749579,-2.75676748746092,3.3046384141274667,3.783030542154662,AUDIT_PRIMARY_NOSTOP_TIME12
1,1,2021-01-01 12:00:00+00:00,46153,1,0.259327903750221,SWEEP_RECLAIM_4,2021-01-01 15:00:00+00:00,46165,29280.32,29377.7,154.03357142857098,12,3.0,2021-01-02 03:00:00+00:00,False,0.07284126373191643,0.09536135443572162,-0.022520090703805187,4.872833844199111,0.7939827588605428,AUDIT_PRIMARY_NOSTOP_TIME12
2,2,2021-01-02 00:45:00+00:00,46204,1,12.301115173785815,SWEEP_RECLAIM_4,2021-01-02 03:00:00+00:00,46213,29340.7,29388.92,134.45642857142852,9,2.25,2021-01-02 15:00:00+00:00,False,14.253390636371872,0.10928789464457422,14.144102741727298,1.18194423047295,17.002682759683196,AUDIT_PRIMARY_NOSTOP_TIME12
3,3,2021-01-02 13:00:00+00:00,46253,1,6.640365846531457,SWEEP_RECLAIM_4,2021-01-02 21:00:00+00:00,46285,30800.0,31544.67,562.4992857142855,32,8.0,2021-01-03 09:00:00+00:00,False,4.898637331602968,0.02803974227268861,4.87059758933028,0.21808027692733276,5.844594088373451,AUDIT_PRIMARY_NOSTOP_TIME12
4,4,2021-01-03 01:00:00+00:00,46301,-1,-6.679128988695994,SWEEP_RECLAIM_4,2021-01-03 01:30:00+00:00,46303,32675.0,32640.88,284.615714285715,2,0.5,2021-01-03 13:30:00+00:00,False,-5.124488658893426,0.057342020067158085,-5.181830678960584,7.699399189885085,0.6311317013918537,AUDIT_PRIMARY_NOSTOP_TIME12
5,5,2021-01-03 13:00:00+00:00,46349,-1,4.305577246160768,SWEEP_RECLAIM_4,2021-01-03 20:30:00+00:00,46379,33800.0,33657.16,401.3742857142856,30,7.5,2021-01-04 08:30:00+00:00,False,4.515934539190359,0.041927399434799034,4.474007139755559,0.7249343327567279,4.895829329233149,AUDIT_PRIMARY_NOSTOP_TIME12
6,6,2021-01-04 01:00:00+00:00,46397,-1,4.889515959632024,SWEEP_RECLAIM_4,2021-01-04 04:00:00+00:00,46409,33583.07,33507.05,256.5699999999997,12,3.0,2021-01-04 16:00:00+00:00,False,8.677748762520975,0.06529806680438095,8.612450695716594,0.16740070935805876,22.243637214015706,AUDIT_PRIMARY_NOSTOP_TIME12
7,7,2021-01-04 13:00:00+00:00,46445,-1,-1.9715244878109977,SWEEP_RECLAIM_4,2021-01-04 15:00:00+00:00,46453,32135.0,31828.73,448.53000000000014,8,2.0,2021-01-05 03:00:00+00:00,False,-1.492765255389827,0.035481160680445,-1.528246416070272,2.388402113570999,2.601988718703318,AUDIT_PRIMARY_NOSTOP_TIME12
8,8,2021-01-05 01:00:00+00:00,46493,-1,1.8969683600675908,SWEEP_RECLAIM_4,2021-01-05 02:00:00+00:00,46497,32847.26,32736.27,357.0721428571438,4,1.0,2021-01-05 14:00:00+00:00,False,3.720172594173634,0.045839854291149534,3.6743327398824848,0.2989031828301984,7.9431287394904,AUDIT_PRIMARY_NOSTOP_TIME12
9,9,2021-01-05 13:15:00+00:00,46542,1,7.183351753240234,SWEEP_RECLAIM_4,2021-01-05 16:00:00+00:00,46553,31964.27,32242.62,341.9042857142857,11,2.75,2021-01-06 04:00:00+00:00,False,7.161009973551498,0.04715152945895468,7.113858444092544,0.0,7.289700960586299,AUDIT_PRIMARY_NOSTOP_TIME12
10,10,2021-01-06 01:15:00+00:00,46590,1,2.3778507087494014,SWEEP_RECLAIM_4,2021-01-06 03:00:00+00:00,46597,33795.0,33918.85,340.10499999999905,7,1.75,2021-01-06 15:00:00+00:00,False,1.9752135369959298,0.049865262198438856,1.925348274797491,0.7904911718439873,5.968186295408802,AUDIT_PRIMARY_NOSTOP_TIME12
11,11,2021-01-06 13:15:00+00:00,46638,-1,-5.906072249653719,SWEEP_RECLAIM_4,2021-01-06 19:30:00+00:00,46663,35742.93,35644.44,307.5371428571426,25,6.25,2021-01-07 07:30:00+00:00,False,-4.732956762481647,0.05795143908285183,-4.790908201564499,6.9942120812352435,4.274085360188792,AUDIT_PRIMARY_NOSTOP_TIME12
12,12,2021-01-07 01:15:00+00:00,46686,1,3.328194842799139,SWEEP_RECLAIM_4,2021-01-07 01:45:00+00:00,46688,36747.16,36975.46,412.3971428571437,2,0.5,2021-01-07 13:45:00+00:00,False,3.015200327007938,0.044829917763043854,2.9703704092448944,1.5472949098996047,3.6903019973811637,AUDIT_PRIMARY_NOSTOP_TIME12
13,13,2021-01-07 13:15:00+00:00,46734,-1,-0.5307954670480968,SWEEP_RECLAIM_4,2021-01-07 14:15:00+00:00,46738,38640.0,38534.84,376.5464285714282,4,1.0,2021-01-08 02:15:00+00:00,False,1.7705120787609026,0.051168776379312025,1.7193433023815905,5.393172915500862,4.8978820672844385,AUDIT_PRIMARY_NOSTOP_TIME12
14,14,2021-01-08 01:45:00+00:00,46784,-1,-4.3965375703963225,SWEEP_RECLAIM_4,2021-01-08 04:45:00+00:00,46796,38859.01,38702.63,719.1464285714283,12,3.0,2021-01-08 16:45:00+00:00,False,-3.698815560113437,0.02690872711200283,-3.72572428722544,4.759642631889998,1.512390184792484,AUDIT_PRIMARY_NOSTOP_TIME12
15,15,2021-01-08 13:45:00+00:00,46832,1,-1.5820806836107375,SWEEP_RECLAIM_4,2021-01-08 15:30:00+00:00,46839,40131.0,40672.71,642.9264285714281,7,1.75,2021-01-09 03:30:00+00:00,False,-0.6851483784525451,0.031630920889637475,-0.7167792993421825,3.1383217586549015,1.5820317143596716,AUDIT_PRIMARY_NOSTOP_TIME12
