sample,n,mean_net_atr,cum_net_atr,t,pf,hit_rate,max_dd_atr,stop_rate,median_mae_atr,median_mfe_atr,long_n,short_n,year,side
PRIMARY,301,0.039107803678244166,11.771448907151495,0.1951270945724568,1.034364189768476,0.26578073089701,65.00501885487822,0.7109634551495017,1.665715859954789,1.7440459509833643,301,0,2021,LONG
PRIMARY,295,0.04831708222324549,14.253539255857419,0.2660204013576041,1.044580925388159,0.288135593220339,55.48809045478932,0.6677966101694915,1.6418768532001238,1.6330445088874093,0,295,2021,SHORT
PRIMARY,269,-0.48994479104696614,-131.7951487916339,-2.926190968481076,0.6125005696026898,0.20074349442379183,136.37179175684096,0.7657992565055762,1.7235276532137642,1.4335106382978724,269,0,2022,LONG
PRIMARY,238,-0.05801134770847615,-13.806700754617324,-0.2811858486205006,0.9486805005228555,0.29831932773109243,69.59208473279769,0.6848739495798319,1.675683678878484,1.3904150018619585,0,238,2022,SHORT
PRIMARY,257,0.22133984431052803,56.8843399878057,0.6790682747560102,1.1682121136183974,0.22568093385214008,68.0055206957789,0.7470817120622568,1.6973073351903674,1.3992017593874675,257,0,2023,LONG
PRIMARY,289,-0.4521688127785141,-130.67678689299058,-2.732854533217046,0.6385446948074899,0.2491349480968858,130.67678689299058,0.71280276816609,1.7176894964165408,1.4176908429980941,0,289,2023,SHORT
PRIMARY,259,0.005761986715623698,1.4923545593465377,0.026975952237877923,1.0048188306550387,0.2702702702702703,60.13675123288401,0.7142857142857143,1.7037523994846173,1.2503076039701397,259,0,2024,LONG
PRIMARY,299,-0.3663126433054402,-109.52748034832663,-2.4066792672252375,0.6922014573420179,0.2508361204013378,119.41455472745959,0.7123745819397993,1.6758914603226118,1.5377942539388596,0,299,2024,SHORT
PRIMARY,263,-0.30746723973462675,-80.86388405020683,-1.7218085365637266,0.7561826950727086,0.2509505703422053,111.42995602186085,0.7376425855513308,1.7328834815799141,1.5877065111759006,263,0,2025,LONG
PRIMARY,280,-0.08017435061346383,-22.448818171769872,-0.3717680922616694,0.9356712178837269,0.24285714285714285,80.3116898355712,0.7214285714285714,1.6632846545754005,1.508989870233937,0,280,2025,SHORT
PRIMARY,142,-0.41874994770820656,-59.46249257456533,-1.8849178630078036,0.6655197018454556,0.22535211267605634,81.7443360072462,0.7323943661971831,1.6953183011602941,0.9023634234204854,142,0,2026,LONG
PRIMARY,158,0.3552985852092329,56.1371764630588,1.2181320159611528,1.3357459715126943,0.33544303797468356,27.829028128590075,0.620253164556962,1.5729010951078908,1.4942302290207317,0,158,2026,SHORT
