market,bull_n,bull_mean,bear_n,bear_mean,bull_minus_bear
BTCUSDT,166,0.17763353441989002,83,0.21912747984607905,-0.04149394542618903
EURUSD,117,0.10258297716381044,33,-0.1710092596389581,0.27359223680276856
XAUUSD,205,0.07087134558736947,48,0.14389343895800277,-0.0730220933706333
