market,exp_n,exp_bull_cov,exp_bear_cov,ret_n,ret_bull_cov,ret_bear_cov,ret_conflict,comp_n,comp_bull_cov,comp_bear_cov,comp_conflict
BTCUSDT,848,0.1957547169811321,0.09787735849056604,5431,0.450377462714049,0.32756398453323515,0.0,2414,0.07083678541839271,0.015741507870753936,0.0
EURUSD,423,0.28368794326241137,0.0851063829787234,2192,0.4466240875912409,0.3403284671532847,0.0,1291,0.07513555383423702,0.027885360185902403,0.0
XAUUSD,570,0.39473684210526316,0.08596491228070176,2597,0.6014632268001541,0.2098575279168271,0.0,1382,0.060057887120115776,0.01447178002894356,0.0
