market,exp_bull_n,exp_bull_mean,exp_bear_n,exp_bear_mean,ret_bull_n,ret_bull_mean,ret_bear_n,ret_bear_mean,comp_bull_n,comp_bull_acc,comp_bear_n,comp_bear_acc
BTCUSDT,110,0.17986974895967273,49,0.18794704138791557,1469,0.15036221513785078,904,-0.053222901203559186,81,0.5802469135802469,16,0.625
EURUSD,109,0.11342618040406786,31,-0.18099540700721944,717,-0.15165562046938444,509,-0.05099892560844237,69,0.5652173913043478,32,0.5625
XAUUSD,178,0.07992918952194576,38,0.20194236292639492,989,0.37705031935935734,271,0.06820093647178045,57,0.543859649122807,10,0.5
