file,bytes,sha256
C1_C4_NOT_EXECUTED.csv,443,725cabeba130aebb16ad162e53d2cd2b219f4c810d40ce30ca6cd986f5ca8c4f
C4_BOOTSTRAP_RESERVATION.json,176,98dbea8a4dceb0a7bae194836651fd93e42300e4aacf57c056eedf0666f70d56
CONTROL_A_MONTHLY.json,533,fa630f38be7bc3f6bc501ab937d109a4e9314ed049b1437662a313763f39f883
CONTROL_B_TRAILING.json,530,657c0d79bfe2cfa26cd46b722125c883962c4f0c486808b839be19f23164526d
FINAL_VERDICT.json,387,4a2ad20c01c103c2dfd3198e72ff5e2bf71134bedfd4f61739736008db369f50
FXArena_Closure_v001_1_FROZEN.md,174,f9071c42b8601ec49ff6ab6460b4b8902fb6149bdd5869d36114f61be8adf70a
FXArena_Closure_v001_1_Report.md,2478,08e1cb21ecb4cb48bf310ac4f079ef5e6368e4d175bd3cd2d2474426e93ce24d
INTERSECTION_AUDIT.json,189,3d08753251e83b8e8eed2d47bf6fabf7177e6a5d5e5a5c887c8b39639b7e0191
P4b_TRAILING_COVERAGE_AUDIT.json,240,3354f0fce62a2f8d623cdfb46406828c9ce5316a4b30210f2da41745c81333ad
P4b_known_intersection_summary_DIAGNOSTIC_ONLY.json,212,44d84935904f565b566e5e7d414baf2396ebfbdaca22d159a9e2c1c2c539e708
P4b_missing_tb_flag_episodes.csv.gz,23369,d9ba66332fbf375635e90aef3f722f7f74734fa7813fb1df87452b6a396bf880
P4b_trailing_known_intersection_DIAGNOSTIC_ONLY.csv.gz,131802,eb5ead09482010f07af86669dca999c64c1301f9c2d3b8c55e97dd4c4107897a
REGISTRY_V4_CANONICAL_ROWS.csv,265,a80ada3a1ee67bec80d1c98f4b6b9e20e4499494a288d1708944fe0f1f95041f
SOURCE_ARTIFACTS_SHA256.csv,1177,ddd2c7ba4c94c7191799b2ec221b08c14484d54d0886b9b70f8be80ecbc91397
monthly_trailing_overlap_summary.csv,255,07575ca3cba0b37bcc6d4fa2528b9721f00abd0bf8c7a78811e0ae5ebd707497
monthly_trailing_symmetric_difference.csv.gz,47613,2823253e5ee8c2cac26b8f2b8f281360d8bc32be572528058d3c1f614c45476c
paired_moving_block_sampler.py,3345,6d51ea3e706fb0b6e3179f05297924d3585b008fc018920e3748a9a6dc95f379
trades_GEOstar_TRAILING_PINNED.csv.gz,121655,7fb61c35a8225a432bd27a393b2544a617079c76270139cf314fb6fec524bc89
trades_P4b_TRAILING_PINNED.NOT_CREATED.md,238,81dc505fd5b889688bdec3300ed10a0bed4078a7271c3886a96df28b3f9c9df0
