registry_key,N,total_R,gross_MaxDD_R,role
GEO*-MONTHLY,3535,1848.8748066288588,14.415969148278236,research reference; baseline for research laboratories
GEO*-TRAILING,3515,1889.613319589386,14.415969148278236,official live reference; August E-exam and kill metrics
