split,group,N,EV_R,Sum_R,WR
DISCOVERY_2026_01_04,WATCH_PROFILE,22,0.4519041769041763,9.941891891891878,0.5454545454545454
DISCOVERY_2026_01_04,OTHER,59,-0.23243701328447086,-13.71378378378378,0.3220338983050847
TEMPORAL_CHECK_2026_05_07,WATCH_PROFILE,14,0.6512934362934368,9.118108108108116,0.6428571428571429
TEMPORAL_CHECK_2026_05_07,OTHER,21,-0.34416988416988487,-7.227567567567582,0.3333333333333333
FULL,WATCH_PROFILE,36,0.5294444444444443,19.059999999999995,0.5833333333333334
FULL,OTHER,80,-0.26176689189189206,-20.941351351351365,0.325
