candidate,class,n,median_time_to_touch_min
D1_HTF_BIAS,CORRECT,175,220.0
D1_HTF_BIAS,INCORRECT,131,210.0
D2_TREND_PRESSURE,CORRECT,154,236.0
D2_TREND_PRESSURE,INCORRECT,112,214.0
D3_PRE12H_MOMENTUM,CORRECT,186,210.0
D3_PRE12H_MOMENTUM,INCORRECT,183,217.0
D4_CONSENSUS_2OF3,CORRECT,149,220.0
D4_CONSENSUS_2OF3,INCORRECT,114,210.0
