candidate,year,n,mean_signed24_atr,eligible,positive
D1_HTF_BIAS,2023,143,0.6863210104414287,True,True
D1_HTF_BIAS,2024,80,0.9555836062260026,True,True
D1_HTF_BIAS,2025,84,0.48465643538284364,True,True
D1_HTF_BIAS,2026,73,0.08547059769881911,True,True
D2_TREND_PRESSURE,2023,113,0.7894078444608197,True,True
D2_TREND_PRESSURE,2024,49,0.528459268667197,True,True
D2_TREND_PRESSURE,2025,71,0.32918773561047615,True,True
D2_TREND_PRESSURE,2026,67,0.7181092265183414,True,True
D3_PRE12H_MOMENTUM,2023,149,0.32132579582479615,True,True
D3_PRE12H_MOMENTUM,2024,84,-0.09015140339578795,True,False
D3_PRE12H_MOMENTUM,2025,107,0.01678979764285324,True,True
D3_PRE12H_MOMENTUM,2026,103,0.34998293375728107,True,True
D4_CONSENSUS_2OF3,2023,106,0.90538890755701,True,True
D4_CONSENSUS_2OF3,2024,58,0.7167235772862293,True,True
D4_CONSENSUS_2OF3,2025,68,0.3738558906235312,True,True
D4_CONSENSUS_2OF3,2026,67,0.5311769352392766,True,True
