candidate,eligible_h1,coverage_all,coverage_resolved,n_resolved_predictions,accuracy,acc_ci_lo,acc_ci_hi,positive_years_h1,eligible_years_h1,transfer_h1,pass_h1,n_follow24,mean_signed24_atr,signed24_ci_lo,signed24_ci_hi,positive_years_h2,eligible_years_h2,transfer_h2,pass_h2,pass_both
D1_HTF_BIAS,True,0.741851368970013,0.7355769230769231,306,0.5718954248366013,0.5017415615982375,0.642106143284633,4,4,True,True,436,0.4867480333561145,0.17360743952045504,0.7864978903033173,4,4,True,True,True
D2_TREND_PRESSURE,True,0.6232073011734028,0.6394230769230769,266,0.5789473684210527,0.5075729308005428,0.6480037037037036,3,4,True,True,344,0.5181697713408904,0.18082330207997774,0.853373317664545,4,4,True,True,True
D3_PRE12H_MOMENTUM,True,0.8956975228161669,0.8870192307692307,369,0.5040650406504065,0.44602080773955777,0.5621511913534757,2,4,False,False,503,0.12314476331414224,-0.07959910306697152,0.3493428149277743,3,4,True,False,False
D4_CONSENSUS_2OF3,True,0.6205997392438071,0.6322115384615384,263,0.5665399239543726,0.4917338154269973,0.6360730253353203,3,4,True,False,344,0.5619824831081004,0.22772961186807908,0.8811193822166502,4,4,True,True,False
