period,variant,N_control,N_variant,frequency_ratio,delta_N,removed_signal_count,added_signal_count,common_signal_count,removed_trade_sumR,added_trade_sumR,common_signal_outcome_deltaR,full_sequence_deltaR
historical,EXITZ_OFF,2967,2957,0.9966295921806538,-10,20,10,2947,11.637872969683325,2.8730862285598735,-6.146445592813283,-14.911232333936738
historical,BE_OFF,2967,2937,0.9898887765419616,-30,73,43,2894,3.350363097833704,0.5225612804904445,141.35089396888637,138.5230921515431
historical,TRAIL_OFF,2967,2936,0.989551735760027,-31,59,28,2908,-0.7520444548009704,7.099777563953388,20.939435292632297,28.79125731138666
historical,HOLD_3H,2967,2969,1.0006740815638693,2,3,5,2964,0.2740291905773254,-1.7674223109434724,-5.564545095537426,-7.605996597058223
historical,HOLD_2H,2967,2972,1.001685203909673,5,6,11,2961,-0.5711980504679823,-2.381308932330084,-9.875694958616608,-11.685805840478707
historical,TP_1R,2967,2997,1.0101112234580385,30,22,52,2945,-2.7308429742850255,2.1613352024917205,-71.28479945202068,-66.39262127524395
historical,TP_1P5R,2967,2978,1.0037074486012807,11,7,18,2960,-0.4694634517774815,1.4351068181755162,-44.49356656830092,-42.588996298347936
historical,SL1_TP1,2967,3003,1.012133468149646,36,33,69,2934,-1.9387213051583172,-3.190392577574938,-176.49925909180044,-177.75093036421708
historical,SL1_TP1P5,2967,3000,1.0111223458038423,33,32,65,2935,-2.556690667779357,-0.5658105237872482,-115.97215101862214,-113.98127087463004
historical,V192_CANONICAL_CONTROL,2967,1147,0.38658577687900236,-1820,2963,1143,4,81.6922703291983,130.81591435671825,2.77000227143695,51.893646298956924
2026,EXITZ_OFF,316,315,0.9968354430379747,-1,1,0,315,0.07439480249475394,0.0,2.8269106095045067,2.752515807009747
2026,BE_OFF,316,315,0.9968354430379747,-1,5,4,311,-1.8377291862460852,2.7338889779645985,-10.479259490328268,-5.907641326117588
2026,TRAIL_OFF,316,312,0.9873417721518988,-4,7,3,309,4.996273842925719,-0.8516929588295399,58.8429586848119,52.99499188305664
2026,HOLD_3H,316,317,1.0031645569620253,1,0,1,316,0.0,0.0814330445669572,-3.8380346157730956,-3.7566015712061436
2026,HOLD_2H,316,317,1.0031645569620253,1,0,1,316,0.0,0.0814330445669572,-4.685532736068416,-4.60409969150146
2026,TP_1R,316,318,1.0063291139240507,2,1,3,315,0.08226009090604798,2.0352878278349347,-8.31423107817353,-6.361203341244641
2026,TP_1P5R,316,317,1.0031645569620253,1,0,1,316,0.0,0.0814330445669572,-2.2968799345255624,-2.2154468899586064
2026,SL1_TP1,316,318,1.0063291139240507,2,1,3,315,0.08226009090604798,0.052931741752483275,-8.87419579314563,-8.903524142299194
2026,SL1_TP1P5,316,318,1.0063291139240507,2,1,3,315,0.08226009090604798,0.5529317417524946,-14.866899568068773,-14.396227917222326
2026,V192_CANONICAL_CONTROL,316,135,0.4272151898734177,-181,314,133,2,14.483200028687982,24.546236152971538,1.784884600228628,11.847920724512186
