R,signal_ts,entry_ts,exit_ts,hold_min,side,exit_reason,confirm_age_min,confirm_z,max_adverse_atr,signal_z,signal_abs_z
1.488694115334583,1609480800,1609482300,1609485000,45.0,-1,TP,25.0,1.4240585681081994,0.5364192574956477,1.5308934532624656,1.5308934532624656
1.4908654226125186,1609526400,1609526520,1609526700,3.0,-1,TP,2.0,1.1193553233321842,0.23702980941668275,1.1193553233321842,1.1193553233321842
-1.0125983126736615,1609540200,1609540800,1609545840,84.0,1,SL,10.0,-1.4492170041703218,0.359276001447507,-1.0472344273325496,1.0472344273325496
-1.010232991423435,1609590300,1609590360,1609590660,5.0,1,SL,1.0,-2.1108522868294135,0.0,-2.1108522868294135,2.1108522868294135
-1.0058289625818126,1609595100,1609595160,1609595940,13.0,-1,SL,1.0,1.7543880797529434,0.0,1.7543880797529434,1.7543880797529434
-1.0037907623327258,1609614000,1609614060,1609616760,45.0,-1,SL,1.0,1.4889798281234503,0.0,1.4889798281234503,1.4889798281234503
0.1461542411063655,1609668600,1609668720,1609669320,10.0,-1,PROTECTED_STOP,2.0,1.364188936246552,0.0,1.364188936246552,1.364188936246552
-1.00415200938519,1609725300,1609725660,1609728780,52.0,-1,SL,6.0,0.8563896458468452,0.011124772484448903,1.1078176301865728,1.1078176301865728
-1.0017897855682696,1609757700,1609758600,1609761240,44.0,-1,SL,15.0,1.566777893177002,0.3264733563930904,2.3737754461212215,2.3737754461212215
0.6054236432089848,1609766700,1609767180,1609771200,67.0,1,EXIT_Z,8.0,-1.186847758621507,0.0,-1.9818985946243959,1.9818985946243959
-1.004585518817377,1609866900,1609867680,1609869300,27.0,-1,SL,13.0,0.880066099130665,0.1120310850808224,1.0176493306102345,1.0176493306102345
0.14540110221980376,1609884600,1609884960,1609885440,8.0,1,PROTECTED_STOP,6.0,-1.3427541505717908,0.08719459046420185,-1.1731001114160704,1.1731001114160704
0.14556041852126297,1609907400,1609907460,1609907580,2.0,-1,PROTECTED_STOP,1.0,2.306057758397049,0.02783454743785698,2.306057758397049,2.306057758397049
-1.004146052497276,1609943100,1609944900,1609946100,20.0,-1,SL,30.0,1.5904266058205792,0.6516229592993055,1.118237736898888,1.118237736898888
0.018741901673076124,1609949100,1609949160,1609950000,14.0,-1,EXIT_Z,1.0,1.1592006749362564,0.0,1.1592006749362564,1.1592006749362564
0.14475360123157924,1609994700,1609995720,1609996200,8.0,-1,PROTECTED_STOP,17.0,-0.6902184609301957,0.18398343459533015,1.0335681343649585,1.0335681343649585
0.005213613375861111,1610020800,1610020920,1610021100,3.0,1,EXIT_Z,2.0,-1.3033695432734929,0.21794923117296724,-1.3033695432734929,1.3033695432734929
-1.0051292258083249,1610043000,1610043240,1610043480,4.0,1,SL,4.0,-1.8563897234263138,0.5333219616823776,-1.8563897234263138,1.8563897234263138
0.14735893982253112,1610078100,1610078820,1610081880,51.0,1,PROTECTED_STOP,12.0,-1.9153196741496665,0.24795860318999033,-1.0746582437625127,1.0746582437625127
0.1469422119606962,1610131200,1610132040,1610132400,6.0,-1,PROTECTED_STOP,14.0,1.1195046410981793,0.42606446775799406,1.6061809577171786,1.6061809577171786
-1.0065441775489943,1610242500,1610242620,1610244240,27.0,1,SL,2.0,-2.351315934755114,0.03356555497054666,-2.351315934755114,2.351315934755114
-1.0051202848705745,1610278200,1610278260,1610278980,12.0,1,SL,1.0,-1.162705273324214,0.0,-1.162705273324214,1.162705273324214
-1.005469427437649,1610299500,1610299560,1610299680,2.0,1,SL,1.0,-1.1738730847416754,0.0,-1.1738730847416754,1.1738730847416754
0.14818941619780168,1610339400,1610339940,1610342520,43.0,1,PROTECTED_STOP,9.0,-1.9023558849764004,0.287451607907908,-1.3706691871837875,1.3706691871837875
0.14609940256675089,1610437800,1610438580,1610438820,4.0,-1,PROTECTED_STOP,13.0,1.5265799727863523,0.1490817229679952,2.1879888276220245,2.1879888276220245
1.4958569075653716,1610529600,1610529900,1610531040,19.0,-1,TP,5.0,1.9172496955785443,0.3249349159422894,1.41398896453234,1.41398896453234
0.14465436929167674,1610628600,1610628900,1610629680,13.0,1,PROTECTED_STOP,5.0,-1.9086898751047678,0.03889523976435007,-1.5285302363574162,1.5285302363574162
0.14320554103321548,1610656800,1610657520,1610658060,9.0,-1,PROTECTED_STOP,12.0,1.4565142216792932,0.6125748091077877,1.2437764106710494,1.2437764106710494
-1.006217351495838,1610659200,1610659320,1610659800,8.0,1,SL,2.0,-1.6383089663940704,0.698061562595049,-1.6383089663940704,1.6383089663940704
-1.0062305235912832,1610690100,1610690220,1610690400,3.0,1,SL,2.0,-1.5627199487977108,0.05553141687808524,-1.5627199487977108,1.5627199487977108
-1.006179015548156,1610703900,1610705340,1610706300,16.0,1,SL,24.0,-1.3086952577206163,0.45307700876871404,-1.4205760984969682,1.4205760984969682
0.1432172506355139,1610709000,1610709180,1610711280,35.0,-1,PROTECTED_STOP,3.0,1.1413613407738588,0.19906493875881492,1.1413613407738588,1.1413613407738588
0.14526413176560782,1610806800,1610806920,1610808060,19.0,-1,PROTECTED_STOP,2.0,1.5279923785771066,0.0748808837254185,1.5279923785771066,1.5279923785771066
0.1446482968749095,1610825400,1610825520,1610830200,78.0,1,PROTECTED_STOP,2.0,-1.3139819385967784,0.14839561285517408,-1.3139819385967784,1.3139819385967784
0.14583917351974243,1610878200,1610878980,1610879940,16.0,1,PROTECTED_STOP,13.0,-1.3373591023817653,0.2416803728070223,-1.111738433110194,1.111738433110194
0.14568298095235724,1610886300,1610886660,1610888760,35.0,-1,PROTECTED_STOP,6.0,1.3826746817453566,0.164564157005264,1.3587263879814724,1.3587263879814724
0.144641611852932,1610892600,1610892840,1610893320,8.0,1,PROTECTED_STOP,4.0,-1.137393872910397,0.073473077277489,-1.137393872910397,1.137393872910397
-1.0065919471849978,1610961600,1610962080,1610964000,32.0,-1,SL,8.0,1.1833705908471825,0.28232812112186617,1.3419583523434904,1.3419583523434904
-1.0083049143048703,1611013800,1611013860,1611014280,7.0,1,SL,1.0,-1.3777948029977927,0.0,-1.3777948029977927,1.3777948029977927
-1.007047625114681,1611044700,1611044760,1611046200,24.0,1,SL,1.0,-1.0201925339381945,0.0,-1.0201925339381945,1.0201925339381945
-1.00531723627749,1611084900,1611084960,1611085380,7.0,1,SL,1.0,-1.9669441977952413,0.0,-1.9669441977952413,1.9669441977952413
0.14341303750439732,1611101100,1611101520,1611101880,6.0,1,PROTECTED_STOP,7.0,-1.19838866439022,0.14260797017376844,-1.3341118228552178,1.3341118228552178
0.14486185364658735,1611120600,1611121320,1611125820,75.0,-1,PROTECTED_STOP,12.0,1.0549797585017082,0.03245190060879488,1.1465080901005342,1.1465080901005342
0.14346586597983296,1611131700,1611131940,1611132480,9.0,-1,PROTECTED_STOP,4.0,1.508246301341269,0.007988545911864825,1.508246301341269,1.508246301341269
0.1445247378660805,1611208800,1611209040,1611212820,63.0,1,PROTECTED_STOP,4.0,-1.093264652789497,0.18135540871697864,-1.093264652789497,1.093264652789497
0.14568685833681408,1611266700,1611267000,1611267240,4.0,-1,PROTECTED_STOP,5.0,-0.3601334466691556,0.22068000256665418,1.419039207219773,1.419039207219773
-1.0053111373556818,1611350400,1611351000,1611352200,20.0,1,SL,10.0,-1.507720108151048,0.21687144202346645,-1.0137038444557567,1.0137038444557567
0.14430861802563114,1611384900,1611384960,1611385260,5.0,-1,PROTECTED_STOP,1.0,1.3110818302009688,0.008349166685143156,1.3110818302009688,1.3110818302009688
1.4931355132987276,1611424200,1611425040,1611426420,23.0,-1,TP,14.0,2.134930626941548,0.2984029353105067,1.7645900981980849,1.7645900981980849
-1.0081508434069262,1611464400,1611464460,1611464700,4.0,-1,SL,1.0,1.1183951872565332,0.0,1.1183951872565332,1.1183951872565332
0.14213989018583492,1611498900,1611498960,1611499260,5.0,-1,PROTECTED_STOP,1.0,1.1441397634393002,0.0,1.1441397634393002,1.1441397634393002
0.14253115427366067,1611505800,1611506100,1611508260,36.0,1,PROTECTED_STOP,5.0,-1.9028619387659216,0.6225011669336329,-1.9516373070328707,1.9516373070328707
0.14298954803906325,1611534600,1611534840,1611536700,31.0,-1,PROTECTED_STOP,4.0,1.6613765580283553,0.2533301011687854,1.6613765580283553,1.6613765580283553
1.4935006577663135,1611546000,1611546060,1611546720,11.0,1,TP,1.0,-1.3342433548221133,0.0,-1.3342433548221133,1.3342433548221133
-1.0056955628194748,1611586500,1611588840,1611590760,32.0,1,SL,39.0,-2.2911297000936193,0.5725104251974348,-1.1403779996632548,1.1403779996632548
1.4956057347256895,1611626100,1611626760,1611631020,71.0,-1,TP,11.0,1.0611436925691147,0.0,1.183620422325115,1.183620422325115
0.144171839726746,1611633000,1611633120,1611634140,17.0,1,PROTECTED_STOP,2.0,-1.2619734203453068,0.01901734104045604,-1.2619734203453068,1.2619734203453068
0.14521813339920636,1611666600,1611666780,1611668520,29.0,1,PROTECTED_STOP,3.0,-1.3915736512420254,0.011315227236283693,-1.3915736512420254,1.3915736512420254
0.14519656628491406,1611750000,1611750300,1611752400,35.0,1,PROTECTED_STOP,5.0,-1.1799642872293985,0.38496538702175537,-1.3329743883161262,1.3329743883161262
0.14550807654350376,1611804300,1611805500,1611806040,9.0,1,PROTECTED_STOP,20.0,-1.4173100948272306,0.6613281681893174,-1.0118479628710908,1.0118479628710908
0.14490127715363754,1611852300,1611852540,1611853800,21.0,1,PROTECTED_STOP,4.0,-1.081690378650297,0.0,-1.081690378650297,1.081690378650297
0.14301992441393535,1611864300,1611864600,1611865080,8.0,1,PROTECTED_STOP,5.0,-1.7563754387994002,0.08089899948879672,-1.4228745541843233,1.4228745541843233
1.4937310945233822,1611878400,1611878460,1611878880,7.0,1,TP,1.0,-1.020929075498109,0.14319083202376315,-1.020929075498109,1.020929075498109
0.14457831409345015,1611896400,1611896820,1611898140,22.0,-1,PROTECTED_STOP,7.0,1.4659672887426725,0.41760125891043237,1.176781079560457,1.176781079560457
0.14502253894155373,1611902400,1611902460,1611903480,17.0,-1,PROTECTED_STOP,1.0,1.135625557585264,0.0,1.135625557585264,1.135625557585264
1.4951132094410575,1612005900,1612006200,1612007700,25.0,-1,TP,5.0,1.160294844283986,0.36545355473343083,1.121056647483551,1.121056647483551
0.14112631098109318,1612080600,1612080660,1612082100,24.0,1,PROTECTED_STOP,1.0,-1.2448651753728048,0.09642685274302047,-1.2448651753728048,1.2448651753728048
-1.007358062107668,1612096500,1612096620,1612097400,13.0,1,SL,2.0,-1.1061740984858903,0.03957390457406155,-1.1061740984858903,1.1061740984858903
0.14243339856447787,1612102200,1612102320,1612104420,35.0,-1,PROTECTED_STOP,2.0,1.9367033091442718,0.0,1.9367033091442718,1.9367033091442718
0.1435766044820249,1612143600,1612143660,1612143960,5.0,1,PROTECTED_STOP,1.0,-1.1315039467941423,0.0,-1.1315039467941423,1.1315039467941423
-1.0081944036326536,1612161600,1612161660,1612161720,1.0,1,SL,1.0,-1.0211426904589953,0.0,-1.0211426904589953,1.0211426904589953
-1.0065112068797533,1612162200,1612162320,1612163700,23.0,-1,SL,2.0,2.8949308674865954,0.17007361229005716,2.8949308674865954,2.8949308674865954
1.489574718155644,1612245600,1612246560,1612248780,37.0,1,TP,16.0,-1.7061223370975886,0.4113813106255083,-1.3426614320607753,1.3426614320607753
