R,signal_ts,entry_ts,exit_ts,side,exit_reason,hold_min
-1.0010817990983294,1621572300,1621573860,1621607220,1,SL,556.0
-1.0007312582446266,1621662300,1621665300,1621680420,-1,SL,252.0
2.2211927590718403,1621722600,1621724460,1621773780,-1,TP,822.0
-1.00062047091964,1621805400,1621807200,1621854120,-1,SL,782.0
1.495159107499401,1621939500,1621941480,1622027880,1,TIME,1440.0
1.301590360686259,1622666700,1622669700,1622756100,1,TIME,1440.0
-1.002755291844072,1623011400,1623012600,1623030360,-1,SL,296.0
-1.0012060670535115,1623186000,1623188760,1623240000,-1,SL,854.0
0.08148320238009914,1623303000,1623304980,1623391380,1,TIME,1440.0
-1.0017450273944266,1623560400,1623562380,1623581460,-1,SL,318.0
-1.0012810267036556,1623615300,1623617340,1623676440,-1,SL,985.0
0.42335486997635413,1623678300,1623679860,1623766260,-1,TIME,1440.0
2.2202575676733383,1623971700,1623973740,1624040880,-1,TP,1119.0
2.2201602862819407,1624145400,1624147440,1624184700,-1,TP,621.0
1.1117255809397495,1624523400,1624526040,1624612440,1,TIME,1440.0
0.40536672975794713,1624652100,1624656720,1624743120,-1,TIME,1440.0
-1.0022049744359949,1624865400,1624866600,1624874700,1,SL,135.0
1.1379132266542022,1624876200,1624879020,1624965420,1,TIME,1440.0
1.3315878006347843,1625033700,1625036400,1625122800,-1,TIME,1440.0
-0.09787800148540204,1625123700,1625125740,1625212140,1,TIME,1440.0
-1.002496742135794,1625256900,1625260500,1625270160,-1,SL,161.0
2.2195806122682424,1625352300,1625353500,1625435220,1,TP,1362.0
-1.0018662816911879,1625446800,1625448120,1625484240,1,SL,602.0
1.1702490287494884,1625835600,1625836920,1625923320,1,TIME,1440.0
0.9634968133728589,1626089400,1626092400,1626178800,-1,TIME,1440.0
-0.39777131245717584,1626183000,1626186900,1626273300,-1,TIME,1440.0
-1.0027201768246157,1626310800,1626311940,1626321840,1,SL,165.0
1.0555576042868582,1626347700,1626349560,1626435960,-1,TIME,1440.0
-1.0023640575774082,1626482700,1626486480,1626569700,-1,SL,1387.0
0.8373295372330013,1626602400,1626603720,1626690120,-1,TIME,1440.0
0.7294138720169611,1626949800,1626951540,1627037940,1,TIME,1440.0
-1.001897461045299,1627084800,1627086120,1627145520,-1,SL,990.0
0.823251022745819,1627156800,1627158060,1627244460,1,TIME,1440.0
-1.0017358402145922,1627390800,1627392240,1627430340,-1,SL,635.0
-1.0021904647863198,1627604100,1627605960,1627634460,1,SL,475.0
-0.11841815623098051,1627721100,1627725720,1627812120,-1,TIME,1440.0
0.3630281319672808,1627859700,1627860840,1627947240,-1,TIME,1440.0
-1.0018008349402345,1628005500,1628007360,1628089500,-1,SL,1369.0
-1.0023524630605554,1628118000,1628120460,1628148240,1,SL,463.0
-1.001814458604824,1628311500,1628312760,1628380320,-1,SL,1126.0
