lab,variant,period,N,trades_per_month,EV,PF,SumR,MaxDD_R,R_DD,positive_periods,armed,confirmed,pending,fill_rate_pending
037A,2.05,historical,1617,26.95,0.0844871758261805,1.1726024783537283,136.61576331093386,18.814135954048083,7.261336031832988,5,7117,3758,3662,0.4415619879847078
037A,1.75,historical,1803,30.05,0.023408649438523776,1.0460964652984144,42.20579493765837,35.385678811521984,1.1927366198756,2,8649,4365,4244,0.42483506126295945
037A,1.50,historical,1958,32.63333333333333,0.05496048859476784,1.1127388534346097,107.61263666855544,27.061157830322884,3.9766456905983554,4,9428,4795,4623,0.4235345014060134
037A,1.25,historical,2040,34.0,0.05125749940018196,1.1062781837390325,104.56529877637121,25.833470023802363,4.047667567695209,5,10261,5089,4890,0.4171779141104294
037A,1.00,historical,2133,35.55,0.048317855639447474,1.1001213673950867,103.06198607894146,39.92283573501267,2.5815296980157956,5,10820,5326,5074,0.42037839968466695
037A,2.05,2026,172,28.666666666666668,0.13211627080977384,1.2757932715976612,22.7239985792811,8.014074755501825,2.8355111815847005,4,713,364,356,0.48314606741573035
037A,1.75,2026,188,31.333333333333332,0.08702170145611866,1.1858263993052591,16.36007987375031,6.0991713222922534,2.682344700493131,5,842,408,400,0.47
037A,1.50,2026,199,33.166666666666664,0.045026567164764476,1.0947685232225954,8.960286865788131,11.047644256994513,0.8110585983174803,4,961,476,467,0.4261241970021413
037A,1.25,2026,212,35.333333333333336,-0.023616984253753928,0.9530863482846945,-5.0068006617958325,17.67538856266409,-0.2832639658271361,3,1079,519,510,0.41568627450980394
037A,1.00,2026,224,37.333333333333336,-0.043535317554191114,0.9165066015328225,-9.75191113213881,25.112964579124814,-0.38832178102322096,4,1096,515,503,0.44532803180914515
037B,1.75,historical,1712,28.533333333333335,0.06644585373149246,1.1331431257726994,113.75530158831509,21.903625364483574,5.193446276376136,5,7772,4016,3924,0.436289500509684
037B,1.50,historical,1795,29.916666666666668,0.07835250980334568,1.1589709532152914,140.6427550970055,31.496014582727113,4.46541433766468,4,8196,4232,4124,0.43525703200775945
037B,1.25,historical,1846,30.766666666666666,0.06373092501993859,1.128240336380269,117.64728758680663,33.440900500421144,3.518065776527908,5,8723,4451,4321,0.42721592224022215
037B,1.00,historical,1892,31.533333333333335,0.08429780624421007,1.1732541191811763,159.49144941404546,25.28299247620732,6.308250479611369,5,9119,4592,4434,0.426702751465945
037B,1.75,2026,177,29.5,0.09712164639088827,1.2035365241651503,17.190531411187223,7.354038214786348,2.337563513964776,4,765,376,371,0.477088948787062
037B,1.50,2026,186,31.0,0.08798144471769043,1.1843099658181722,16.36454871749042,7.8453905170661375,2.085880706880364,4,825,421,414,0.4492753623188406
037B,1.25,2026,196,32.666666666666664,0.04737396021885768,1.0957788583323276,9.285296202896106,10.855789140497365,0.8553312967601261,3,923,449,439,0.44646924829157175
037B,1.00,2026,199,33.166666666666664,0.005200763081648615,1.0102185546112017,1.0349518532480744,14.698637476165098,0.07041141431825389,3,993,467,458,0.4344978165938865
037C,0.25,historical,1617,26.95,0.0844871758261805,1.1726024783537283,136.61576331093386,18.814135954048083,7.261336031832988,5,7117,3758,3662,0.4415619879847078
037C,0.20,historical,1630,27.166666666666668,0.07020977625181879,1.1428955575687207,114.44193529046463,32.88084167089219,3.4805050441204037,4,6893,3856,3775,0.43178807947019865
037C,0.15,historical,1650,27.5,0.0612786463084246,1.1239980813166788,101.10976640890058,30.1489334081558,3.3536763984343363,4,6621,3903,3823,0.4315982212921789
037C,0.25,2026,172,28.666666666666668,0.13211627080977384,1.2757932715976612,22.7239985792811,8.014074755501825,2.8355111815847005,4,713,364,356,0.48314606741573035
037C,0.20,2026,176,29.333333333333332,0.18210677570496772,1.392823067699046,32.05079252407432,8.014074755501827,3.9993128966099034,4,697,363,356,0.4943820224719101
037C,0.15,2026,175,29.166666666666668,0.2030373717433986,1.4599322988387982,35.53154005509475,8.014778026693033,4.4332531651853335,6,617,356,353,0.49575070821529743
