clock,stop_atr,original_n,eligible_n,traded_n,fill_share,tp_share,sl_share,time_share,gross_ev,net_ev_5bps,net_ev_0bps,net_ev_10bps,ev_per_original_5bps,pf_5bps,cum_r_5bps,max_dd_r_5bps,max_dd_pct_025,winner_kill_rate,median_mae_atr,median_mfe_atr,max_concurrent,max_concurrent_risk_pct
TOUCH,1.5,475,475,475,1.0,0.3368421052631579,0.6336842105263157,0.029473684210526315,-0.1263575551862865,-0.22981526046101497,-0.1263575551862865,-0.3332729657357435,-0.22981526046101497,0.6758910128367642,-109.16224871898211,114.28822162383997,28.572055405959993,0.50199203187251,2.590966122961111,3.3670343137255125,1,0.25
TOUCH,2.0,475,475,475,1.0,0.3705263157894737,0.5536842105263158,0.07578947368421053,0.0032235455493141007,-0.07436973340673228,0.0032235455493141007,-0.15196301236277865,-0.07436973340673228,0.879335631408018,-35.32562336819783,60.54468702957316,15.13617175739329,0.3545816733067729,2.590966122961111,3.3670343137255125,1,0.25
TOUCH,2.5,475,475,475,1.0,0.35578947368421054,0.4694736842105263,0.17473684210526316,0.07420774754193761,0.012133124377100507,0.07420774754193761,-0.0499414987877366,0.012133124377100507,1.0225633092557953,5.763234079122741,29.092757988680077,7.273189497170019,0.24701195219123506,2.590966122961111,3.3670343137255125,1,0.25
TOUCH,3.0,475,475,475,1.0,0.33052631578947367,0.3957894736842105,0.2736842105263158,0.12330908878735776,0.07158023614999351,0.12330908878735776,0.01985138351262925,0.07158023614999351,1.1517136654315354,34.000612171246914,17.82968790928153,4.457421977320383,0.1752988047808765,2.590966122961111,3.3670343137255125,1,0.25
ACCEPT,1.5,475,331,327,0.6884210526315789,0.40061162079510704,0.5565749235474006,0.04281345565749235,0.04702095698403115,-0.05615263000625578,0.04702095698403115,-0.15932621699654273,-0.03865665265693819,0.9098986350699814,-18.36191001204564,24.791466692860794,6.197866673215199,0.39520958083832336,2.2344301579530605,3.1462131099229493,1,0.25
ACCEPT,2.0,475,331,327,0.6884210526315789,0.41590214067278286,0.4648318042813456,0.11926605504587157,0.17204183116735375,0.09466164092463854,0.17204183116735375,0.017281450681923348,0.06516706648917223,1.179979595290204,30.9543565823568,12.147475365012983,3.036868841253246,0.24550898203592814,2.2344301579530605,3.1462131099229493,1,0.25
ACCEPT,2.5,475,331,327,0.6884210526315789,0.3669724770642202,0.41896024464831805,0.21406727828746178,0.1481963213772749,0.08629216918310277,0.1481963213772749,0.02438801698893061,0.05940534594289389,1.1758411936897,28.217539322874607,11.437994051043567,2.859498512760892,0.16167664670658682,2.2344301579530605,3.1462131099229493,1,0.25
ACCEPT,3.0,475,331,327,0.6884210526315789,0.3302752293577982,0.36085626911314983,0.308868501529052,0.15184658877706778,0.1002597952819243,0.15184658877706778,0.04867300178678083,0.06902095380460893,1.2248417738794433,32.78495305718925,9.711255134296605,2.4278137835741513,0.10778443113772455,2.2344301579530605,3.1462131099229493,1,0.25
