clock,stop_atr,slice,original_n,traded_n,ev_per_original_5bps,trade_ev_5bps,pf_5bps,cum_r_5bps
TOUCH,2.5,2021,82,82,0.23308682279444876,0.23308682279444876,1.535105873382334,19.1131194691448
TOUCH,2.5,2022,79,79,-0.1487763538359388,-0.1487763538359388,0.7532661277857077,-11.753331953039165
TOUCH,2.5,2023,83,83,-0.023519308986295864,-0.023519308986295864,0.9580970514466887,-1.9521026458625568
TOUCH,2.5,2024,94,94,0.03316913703623428,0.03316913703623428,1.063232617775956,3.1178988814060222
TOUCH,2.5,2025_H1,46,46,-0.21490566134239655,-0.21490566134239655,0.6363431594163818,-9.885660421750242
TOUCH,2.5,2025_H2,44,44,-0.0672219348581599,-0.0672219348581599,0.8833652056794757,-2.9577651337590356
TOUCH,2.5,2026_JAN_JUL,47,47,0.21449097623367933,0.21449097623367933,1.4265665197395234,10.081075882982928
TOUCH,2.5,POOLED_RECENT,91,91,0.07827814010136144,0.07827814010136144,1.1453966280937113,7.123310749223892
TOUCH,2.5,AUG_REUSED,1,1,-1.1262916378519505,-1.1262916378519505,0.0,-1.1262916378519505
ACCEPT,2.5,2021,82,62,0.179884338897515,0.23791154499348757,1.5563696503464541,14.75051578959623
ACCEPT,2.5,2022,79,49,-0.024859224584669163,-0.040079158003854386,0.9296201816712012,-1.9638787421888648
ACCEPT,2.5,2023,83,52,-0.0037633560135781415,-0.00600689517551894,0.9880787377645762,-0.31235854912698485
ACCEPT,2.5,2024,94,64,0.05734102611084968,0.08421963210031048,1.177478845436824,5.390056454419871
ACCEPT,2.5,2025_H1,46,32,-0.07964182278620834,-0.11448512025517452,0.794567919182592,-3.6635238481655845
ACCEPT,2.5,2025_H2,44,33,0.08763179761407752,0.11684239681876997,1.2479041244479507,3.855799095019409
ACCEPT,2.5,2026_JAN_JUL,47,35,0.2161899813472453,0.29031226066630084,1.631236981277441,10.160929123320528
ACCEPT,2.5,POOLED_RECENT,91,68,0.15402998042131802,0.20612835615205796,1.4428604075843896,14.016728218339942
ACCEPT,2.5,AUG_REUSED,1,0,0.0,,,0.0
