period,n,top_n,low_n,mid_n,top_ev,low_ev,mid_ev,dead_ev,top_low_gap,mid_cum
2021,62,10,23,14,0.9134106623629081,-0.08024072245913745,0.38942329053076097,0.13400131433977702,0.9936513848220456,5.451926067430653
2022,49,5,26,10,-0.03351106249908668,-0.18993547004551353,0.42255411612042443,-0.13544279621429062,0.15642440754642684,4.225541161204244
2023,52,14,14,8,0.20946871951713325,-0.09370195451439366,0.4494074376528671,-0.3455220475242673,0.3031706740315269,3.595259501222937
2024,64,22,12,10,0.09322794776782205,0.012524994082448967,0.4999668377634424,-0.0905463351548014,0.08070295368537309,4.999668377634424
2025_H1,32,4,14,7,-0.41735957105072896,-0.1913384706613288,-0.154499891262325,0.2523074663046012,-0.22602110038940015,-1.081499238836275
2025_H2,33,8,8,7,0.36564093541981946,-0.2206117447583741,-0.12418053867112153,0.3564829340425698,0.5862526801781935,-0.8692637706978507
2026_JAN_JUL,35,7,14,11,0.9298399678600392,0.17287787625955695,0.002421087137362181,0.4017090407184911,0.7569620916004822,0.02663195851098399
