scope,band,n,ev,pf,cum_r
FULL,LOW_BAND,111,-0.08980836533015707,0.8466362494034653,-9.968728551647434
FULL,MID_SPIKE,67,0.2440039411413301,1.5572721976357222,16.348264056469116
FULL,DEAD_MID,79,0.0015608431469798238,1.0032649474985316,0.12330660861140608
FULL,TOP_BAND,70,0.3102099601348787,1.7654605734673043,21.71469720944151
LOO_2021,LOW_BAND,88,-0.09230899926235535,0.8460318714093595,-8.12319193508727
LOO_2021,MID_SPIKE,53,0.2055912828120465,1.4604750321408249,10.896337989038464
LOO_2021,DEAD_MID,64,-0.029479892288832035,0.9386688433032973,-1.8867131064852503
LOO_2021,TOP_BAND,60,0.20967650976354052,1.469867662466201,12.58059058581243
LOO_2022,LOW_BAND,85,-0.05918125094663628,0.8954137286642389,-5.030406330464084
LOO_2022,MID_SPIKE,57,0.21267934903973462,1.4680885554432996,12.122722895264873
LOO_2022,DEAD_MID,71,0.016997872934165232,1.0362533970492103,1.2068489783257315
LOO_2022,TOP_BAND,65,0.33665003879902994,1.8655287465021553,21.882252521936945
LOO_2023,LOW_BAND,97,-0.08924640400459714,0.8474353277139532,-8.656901188445923
LOO_2023,MID_SPIKE,59,0.2161526195804437,1.477198568358013,12.753004555246179
LOO_2023,DEAD_MID,63,0.08970887887301084,1.204932030354708,5.651659368999683
LOO_2023,TOP_BAND,56,0.3353952702893151,1.8087217241225528,18.782135136201646
LOO_2024,LOW_BAND,99,-0.10221240889532142,0.8262337048782012,-10.119028480636821
LOO_2024,MID_SPIKE,57,0.19909816980411746,1.4409746060666528,11.348595678834695
LOO_2024,DEAD_MID,59,0.03278361545266833,1.0667694446998108,1.9342333117074313
LOO_2024,TOP_BAND,48,0.40966004913644644,2.1456392871195233,19.66368235854943
LOO_2025_H1,LOW_BAND,97,-0.07515453569473021,0.8704529520018573,-7.289989962388831
LOO_2025_H1,MID_SPIKE,60,0.2904960549217565,1.6850544461741053,17.429763295305392
LOO_2025_H1,DEAD_MID,72,-0.022817300771122255,0.9539536489283095,-1.6428456555208024
LOO_2025_H1,TOP_BAND,66,0.3543050832370368,1.9263034113645585,23.38413549364443
LOO_2025_H2,LOW_BAND,103,-0.07964887954932465,0.8642892459613518,-8.203834593580439
LOO_2025_H2,MID_SPIKE,60,0.28695879711944944,1.6723537593753424,17.217527827166965
LOO_2025_H2,DEAD_MID,69,-0.04987714104078685,0.8977292643584296,-3.4415227318142927
LOO_2025_H2,TOP_BAND,62,0.3030575762271445,1.7453719884812868,18.78956972608296
LOO_2026_JAN_JUL,LOW_BAND,97,-0.12772184349774468,0.7843377601348013,-12.389018819281233
LOO_2026_JAN_JUL,MID_SPIKE,56,0.2914577160349666,1.7113360517586198,16.32163209795813
LOO_2026_JAN_JUL,DEAD_MID,76,-0.01423448044136931,0.9705005435321726,-1.0818205135440675
LOO_2026_JAN_JUL,TOP_BAND,63,0.24136218149874986,1.5567678146646258,15.205817434421242
