left_out,n,top_ev,low_ev,mid_ev,dead_ev,top_low_gap,mid_low_gap,boot_lo,boot_hi
2021,265,0.20967650976354052,-0.09230899926235535,0.2055912828120465,-0.029479892288832035,0.3019855090258959,0.29790028207440183,-0.05544108287042523,0.6462677249368383
2022,278,0.33665003879902994,-0.05918125094663628,0.21267934903973462,0.016997872934165232,0.3958312897456662,0.2718605999863709,0.03934244723612249,0.7442901393547668
2023,275,0.3353952702893151,-0.08924640400459714,0.2161526195804437,0.08970887887301084,0.42464167429391225,0.30539902358504084,0.04200643444929039,0.800796872681967
2024,263,0.40966004913644644,-0.10221240889532142,0.19909816980411746,0.03278361545266833,0.5118724580317678,0.3013105786994389,0.15338444672347426,0.8519412264165024
2025_H1,295,0.3543050832370368,-0.07515453569473021,0.2904960549217565,-0.022817300771122255,0.429459618931767,0.36565059061648675,0.09197293171405374,0.7743115552715611
2025_H2,294,0.3030575762271445,-0.07964887954932465,0.28695879711944944,-0.04987714104078685,0.38270645577646917,0.3666076766687741,0.01938831264045336,0.7454404874660103
2026_JAN_JUL,292,0.24136218149874986,-0.12772184349774468,0.2914577160349666,-0.01423448044136931,0.3690840249964945,0.4191795595327113,0.009141523317040368,0.718064514952753
