signal_ts,signal_ts_server,confirm_ts,confirm_ts_server,exit_ts,exit_ts_server,side,z,atr,entry,exit,R,spread_atr_entry,kind,mfe_atr,confirm_lag_s
1777596600,1777607400,1777596986,1777607786,1777598305,1777609105,SELL,1.7755242508532492,126.7109375,76395.6875,76585.75390625,-1.0,0.007891978543683334,stop,0.3330045008940132,386
1777618200,1777629000,1777618525,1777629325,1777622611,1777633411,BUY,-1.1671790563238862,176.58426339285714,77007.2890625,77033.77670200892,0.09999999999997959,0.005663018780870879,be,0.5811230600526484,325
1777629000,1777639800,1777629475,1777640275,1777631969,1777642769,BUY,-2.375000331185677,138.63169642857142,77220.796875,77241.59162946428,0.09999999999997802,0.0072133575925419045,be,1.3357673048126621,475
1777639800,1777650600,1777640471,1777651271,1777642469,1777653269,BUY,-3.1962675860850283,171.64118303571428,78023.0234375,78386.32784598214,1.4111003822299464,0.005826107594422283,trail,2.6166505733449075,671
1777675500,1777686300,1777681485,1777692285,1777683300,1777694100,BUY,-1.0369698362977025,157.10267857142858,78278.0390625,78294.609375,0.07031627404734164,0.006365263845869682,signal,0.48927992952743593,5985
1777686300,1777697100,1777687067,1777697867,1777690336,1777701136,SELL,1.2007125362017868,122.40234375,78253.4296875,78437.033203125,-1.0,0.00816977820328706,stop,0.3338120312749322,767
1777697100,1777707900,1777697175,1777707975,1777718778,1777729578,SELL,1.1756529610483868,127.35993303571429,78136.921875,78190.7890625,-0.28196825702839395,0.007851762922328013,time,0.3150519872584115,75
1777735500,1777746300,1777745319,1777756119,1777745400,1777756200,SELL,1.1668148837072696,98.89732142857143,78301.390625,78300.2734375,0.007530958937089032,0.010111497314133525,signal,0.011296438405633548,9819
1777746300,1777757100,1777746582,1777757382,1777759644,1777770444,BUY,-1.933323775861755,75.67522321428571,78360.8671875,78704.44363839286,3.026763021409416,0.013214364722365608,trail,5.040144532114152,282
1777762500,1777773300,1777762883,1777773683,1777763562,1777774362,SELL,1.1361596785117216,91.24720982142857,78725.640625,78711.95354352679,0.09999999999996963,0.01095923921352781,be,0.8278506559031281,383
1777784400,1777795200,1777789477,1777800277,1777789728,1777800528,SELL,1.3718080812751632,90.09040178571429,78079.2578125,78065.74425223214,0.10000000000004922,0.011099961596115013,be,0.5758105077984663,5077
