signal_ts,signal_ts_server,confirm_ts,confirm_ts_server,exit_ts,exit_ts_server,side,z,atr,entry,exit,R,spread_atr_entry,kind,mfe_atr,confirm_lag_s
1777596600,1777607400,1777596726,1777607526,1777599782,1777610582,SELL,1.7755242508532492,126.7109375,76401.1328125,76591.19921875,-1.0,0.007891978543683334,stop,0.37597879030766385,126
1777618200,1777629000,1777618517,1777629317,1777622618,1777633418,BUY,-1.1671790563238862,176.58426339285714,76997.2890625,77023.77670200892,0.09999999999997959,0.005663018780870879,be,0.6377532478613572,317
1777629000,1777639800,1777629468,1777640268,1777631982,1777642782,BUY,-2.375000331185677,138.63169642857142,77215.4375,77236.23225446428,0.09999999999997802,0.0072133575925419045,be,1.3744263931601914,468
1777639800,1777650600,1777640470,1777651270,1777642469,1777653269,BUY,-3.1962675860850283,171.64118303571428,78014.9609375,78386.32784598214,1.4424157105499662,0.005826107594422283,trail,2.6636235658249374,670
1777675500,1777686300,1777681485,1777692285,1777683300,1777694100,BUY,-1.0369698362977025,157.10267857142858,78278.0390625,78294.609375,0.07031627404734164,0.006365263845869682,signal,0.48927992952743593,5985
1777686300,1777697100,1777687016,1777697816,1777690336,1777701136,SELL,1.2007125362017868,122.40234375,78259.609375,78443.212890625,-1.0,0.00816977820328706,stop,0.38429870751555767,716
1777697100,1777707900,1777697175,1777707975,1777718778,1777729578,SELL,1.1756529610483868,127.35993303571429,78136.921875,78190.7890625,-0.28196825702839395,0.007851762922328013,time,0.3150519872584115,75
1777735500,1777746300,1777745072,1777755872,1777745100,1777755900,SELL,1.1668148837072696,98.89732142857143,78306.0390625,78307.2421875,-0.008110263470711266,0.010111497314133525,signal,0.0,9572
1777746300,1777757100,1777746582,1777757382,1777759644,1777770444,BUY,-1.933323775861755,75.67522321428571,78360.8671875,78704.44363839286,3.026763021409416,0.013214364722365608,trail,5.040144532114152,282
1777762500,1777773300,1777762883,1777773683,1777763562,1777774362,SELL,1.1361596785117216,91.24720982142857,78725.640625,78711.95354352679,0.09999999999996963,0.01095923921352781,be,0.8278506559031281,383
1777773303,1777784103,1777773972,1777784772,1777782301,1777793101,BUY,-1.6163459183248334,156.11160714285714,78260.3671875,78183.6328125,-0.3276902399267923,0.006405673596614144,signal,0.0,669
1777784400,1777795200,1777789348,1777800148,1777789742,1777800542,SELL,1.3718080812751632,90.09040178571429,78089.1171875,78075.60362723214,0.10000000000004922,0.011099961596115013,be,0.6852491916601627,4948
1777812000,1777822800,1777812282,1777823082,1777815836,1777826636,BUY,-1.1776689117963228,129.37165178571428,78751.609375,78557.55189732143,-0.9999999999999679,0.007729668642218139,stop,0.3629924860029159,282
1777822800,1777833600,1777826097,1777836897,1777827726,1777838526,BUY,-1.160577433329591,115.23325892857143,78693.5,78520.65011160714,-0.999999999999988,0.008678050150606785,stop,0.4471229745566543,3297
1777833900,1777844700,1777834113,1777844913,1777838693,1777849493,BUY,-1.083740365981702,100.06473214285714,78687.28125,78702.29095982143,0.10000000000002215,0.00999353097325392,be,1.3157108121974614,213
1777844700,1777855500,1777845287,1777856087,1777845812,1777856612,BUY,-3.4255317822885227,152.50111607142858,78719.9375,79052.31194196429,1.4529923912539853,0.006557329059359928,trail,2.6794885868809506,587
