side,component,n_present,n_absent,accuracy_present,accuracy_absent,premium
BULL,OB_CONFIRM,95,187,0.43157894736842106,0.4919786096256685,-0.06039966225724741
BULL,IMBALANCE_CONFIRM,157,125,0.4840764331210191,0.456,0.028076433121019095
BULL,LIQUIDITY_CONFIRM,102,180,0.4215686274509804,0.5,-0.0784313725490196
BULL,PRICE_ACTION_CONFIRM,263,19,0.467680608365019,0.5263157894736842,-0.05863518110866517
BEAR,OB_CONFIRM,135,243,0.5555555555555556,0.4897119341563786,0.06584362139917699
BEAR,IMBALANCE_CONFIRM,211,167,0.5308056872037915,0.49101796407185627,0.03978772313193524
BEAR,LIQUIDITY_CONFIRM,125,253,0.472,0.5335968379446641,-0.061596837944664085
BEAR,PRICE_ACTION_CONFIRM,346,32,0.5028901734104047,0.625,-0.12210982658959535
