score_pct,n_all,n_resolved,accuracy,mean_signed24_atr
0,24,12,0.75,0.15698679767962984
25,231,108,0.5370370370370371,-0.15589415643775628
50,625,317,0.45741324921135645,-0.07039652340349244
75,390,200,0.525,0.00012064976242336037
100,44,23,0.43478260869565216,-0.11404827614976877
