side,n_resolved,accuracy,ci_lo,ci_hi,n_follow24,mean_signed24_atr
BULL,99,0.47474747474747475,0.36361408199643497,0.5789826127819544,188,-0.1637190204989133
BEAR,124,0.5483870967741935,0.45159307244844,0.6400156249999998,246,0.10491099638435368
