period,scenario,variant,N,WR,EV,PF,SumR,MaxDD_R,R_DD,MaxConsecutiveLosses,median_hold_min,p90_hold_min
historical,S0_BASE,CONTROL_A2P5_G0P5,2967,0.7280080889787665,0.026906407582232342,1.105187942912335,79.83131129648336,20.46918397243448,3.9000729781895997,6,26.0,101.0
historical,S0_BASE,BALANCED_A3P5_G0P5,2946,0.7281059063136456,0.03410206607557573,1.133442830390611,100.46468665864609,21.055173417476027,4.771496518535406,6,27.0,113.0
historical,S0_BASE,AGGRESSIVE_A5P0_G0P5,2940,0.7295918367346939,0.03681195070140383,1.1448010584052395,108.22713506212726,33.14444622875535,3.2653173420116435,6,28.0,122.0
historical,S1_COST_1BPS,CONTROL_A2P5_G0P5,2967,0.723963599595551,0.013221166345922453,1.0509113242911496,39.22720054835192,29.40705827824209,1.3339382734986323,6,26.0,101.0
historical,S1_COST_1BPS,BALANCED_A3P5_G0P5,2946,0.723693143245078,0.0204215269593445,1.0787060616704716,60.16181842222889,25.926027256073063,2.3205182123742554,6,27.0,113.0
historical,S1_COST_1BPS,AGGRESSIVE_A5P0_G0P5,2940,0.7248299319727891,0.023139215457474528,1.0896465207787218,68.02929344497511,41.67543986315746,1.6323593384581259,6,28.0,122.0
historical,S2_COST_2BPS,CONTROL_A2P5_G0P5,2967,0.6858779912369397,-0.014149316126697325,0.9473735866493667,-41.98102094791096,89.20407583596557,-0.4706177442509295,10,26.0,101.0
historical,S2_COST_2BPS,BALANCED_A3P5_G0P5,2946,0.6839782756279701,-0.006939551273117948,0.9741752222865859,-20.443918050605475,73.90020815615168,-0.27664222551859835,12,27.0,113.0
historical,S2_COST_2BPS,AGGRESSIVE_A5P0_G0P5,2940,0.6836734693877551,-0.004206255030384078,0.9842680675125465,-12.366389789329189,87.58555182074156,-0.1411921205296402,12,28.0,122.0
historical,S3_DELAY_60S,CONTROL_A2P5_G0P5,2975,0.7257142857142858,0.03315693274125105,1.1287643665908809,98.64187490522187,25.912069626766225,3.806792599975434,5,27.0,101.0
historical,S3_DELAY_60S,BALANCED_A3P5_G0P5,2951,0.7261945103354795,0.04177056188158276,1.162624933757126,123.26492811255073,23.549003270935245,5.234401078226836,5,28.0,112.0
historical,S3_DELAY_60S,AGGRESSIVE_A5P0_G0P5,2944,0.725203804347826,0.04394377030550868,1.1707709712344327,129.37045977941756,25.08422303798426,5.157443369225185,5,29.0,122.70000000000027
historical,S4_DELAY_180S,CONTROL_A2P5_G0P5,2973,0.7356205852674067,0.04022956286263077,1.164547044732369,119.60249039060128,20.512925721758055,5.830591501812876,5,26.0,100.0
historical,S4_DELAY_180S,BALANCED_A3P5_G0P5,2954,0.7356127285037237,0.036225203075919137,1.148251584019796,107.00924988626512,21.165402123150525,5.055857160834161,5,28.0,113.0
historical,S4_DELAY_180S,AGGRESSIVE_A5P0_G0P5,2943,0.7363234794427455,0.03817133468579086,1.1570451348853013,112.33823798028251,24.227482734817226,4.636810155222674,5,29.0,126.0
historical,S5_ADVERSE_COMBINED,CONTROL_A2P5_G0P5,2973,0.6915573494786411,-0.0009547568465472446,0.9962884401974164,-2.838492104784958,50.817244633095825,-0.055856867590501534,8,26.0,100.0
historical,S5_ADVERSE_COMBINED,BALANCED_A3P5_G0P5,2954,0.6888964116452269,-0.004946277380062038,0.9807750115743373,-14.61130338070326,71.38073757938352,-0.20469532644509067,11,28.0,113.0
historical,S5_ADVERSE_COMBINED,AGGRESSIVE_A5P0_G0P5,2943,0.689772341148488,-0.002923874983815496,0.9885756127040293,-8.604964077369004,74.12298820227407,-0.11609035585406967,11,29.0,126.0
2026,S0_BASE,CONTROL_A2P5_G0P5,316,0.7468354430379747,0.04636874568363749,1.188897611414058,14.652523636029446,9.587359830977178,1.5283168561887606,4,24.025,99.04166666666666
2026,S0_BASE,BALANCED_A3P5_G0P5,314,0.7452229299363057,0.07059825472666176,1.2857766292600443,22.167851984171794,9.933105563149681,2.2317141243732648,4,24.608333333333334,104.44666666666666
2026,S0_BASE,AGGRESSIVE_A5P0_G0P5,312,0.7435897435897436,0.08942835075385128,1.35969376685545,27.901645435201598,9.299532770080571,3.0003276643069303,4,26.233333333333334,107.99833333333335
2026,S1_COST_1BPS,CONTROL_A2P5_G0P5,316,0.7373417721518988,0.027793087319630014,1.1107485430234894,8.782615593003085,10.837643013595386,0.810380594930618,6,24.025,99.04166666666666
