period,scenario,variant,N_control,N_variant,frequency_ratio,delta_N,removed_signal_count,added_signal_count,common_signal_count,removed_trade_sumR,added_trade_sumR,common_signal_outcome_deltaR,full_sequence_deltaR
historical,S0_BASE,BALANCED_A3P5_G0P5,2967,2946,0.9929221435793731,-21,34,13,2933,1.833556173115963,8.511512180001539,13.955419355277144,20.633375362162724
historical,S0_BASE,AGGRESSIVE_A5P0_G0P5,2967,2940,0.9908998988877654,-27,53,26,2914,-0.0493092097360264,14.527555574779843,13.818958981128048,28.395823765643897
historical,S1_COST_1BPS,BALANCED_A3P5_G0P5,2967,2946,0.9929221435793731,-21,34,13,2933,1.405267334987512,8.384465853587345,13.955419355277147,20.934617873876974
historical,S1_COST_1BPS,AGGRESSIVE_A5P0_G0P5,2967,2940,0.9908998988877654,-27,53,26,2914,-0.750536640298819,14.23259727519633,13.818958981128056,28.802092896623193
historical,S2_COST_2BPS,BALANCED_A3P5_G0P5,2967,2946,0.9929221435793731,-21,34,13,2933,0.5486896587306115,8.130373200758957,13.955419355277149,21.537102897305488
historical,S2_COST_2BPS,AGGRESSIVE_A5P0_G0P5,2967,2940,0.9908998988877654,-27,53,26,2914,-2.1529915014244057,13.642680676029315,13.818958981128056,29.614631158581773
historical,S3_DELAY_60S,BALANCED_A3P5_G0P5,2975,2951,0.9919327731092437,-24,37,13,2938,-0.9811056257719517,5.839814414354674,17.802133167202253,24.623053207328866
historical,S3_DELAY_60S,AGGRESSIVE_A5P0_G0P5,2975,2944,0.9895798319327731,-31,52,21,2923,1.5209184285658162,11.197820333503481,21.051682969258025,30.72858487419569
historical,S4_DELAY_180S,BALANCED_A3P5_G0P5,2973,2954,0.9936091490077363,-19,33,14,2940,0.509035483682847,1.1448325001045152,-13.229037520757798,-12.593240504336151
historical,S4_DELAY_180S,AGGRESSIVE_A5P0_G0P5,2973,2943,0.9899091826437941,-30,50,20,2923,-3.0005299955614158,4.78905141614067,-15.05383382202084,-7.264252410318761
historical,S5_ADVERSE_COMBINED,BALANCED_A3P5_G0P5,2973,2954,0.9936091490077363,-19,33,14,2940,-0.7123225800432867,0.7439036647961942,-13.229037520757792,-11.772811275918302
historical,S5_ADVERSE_COMBINED,AGGRESSIVE_A5P0_G0P5,2973,2943,0.9899091826437941,-30,50,20,2923,-5.241598515127863,4.045763334308915,-15.053833822020838,-5.766471972584046
2026,S0_BASE,BALANCED_A3P5_G0P5,316,314,0.9936708860759493,-2,4,2,312,1.1819724695907388,-0.9407070512256419,9.638007868958733,7.515328348142347
2026,S0_BASE,AGGRESSIVE_A5P0_G0P5,316,312,0.9873417721518988,-4,7,3,309,4.996273842925719,-0.8516929588295399,19.097088600927414,13.249121799172151
2026,S1_COST_1BPS,BALANCED_A3P5_G0P5,316,314,0.9936708860759493,-2,4,2,312,1.1157510317967705,-0.9814141024512377,9.638007868958729,7.54084273471072
2026,S1_COST_1BPS,AGGRESSIVE_A5P0_G0P5,316,312,0.9873417721518988,-4,7,3,309,4.880960669031182,-0.9033859176590421,19.097088600927414,13.31274201423719
2026,S2_COST_2BPS,BALANCED_A3P5_G0P5,316,314,0.9936708860759493,-2,4,2,312,0.9833081562088337,-1.0628282049024294,9.63800786895873,7.591871507847469
2026,S2_COST_2BPS,AGGRESSIVE_A5P0_G0P5,316,312,0.9873417721518988,-4,7,3,309,4.650334321242108,-1.0067718353180464,19.097088600927414,13.439982444367264
2026,S3_DELAY_60S,BALANCED_A3P5_G0P5,317,315,0.9936908517350158,-2,4,2,313,-0.7662242104598026,0.15927805158399438,15.824901671036043,16.750403933079838
2026,S3_DELAY_60S,AGGRESSIVE_A5P0_G0P5,317,313,0.9873817034700315,-4,7,3,310,1.2570634090539001,0.9412587925393336,15.115235699944636,14.79943108343007
2026,S4_DELAY_180S,BALANCED_A3P5_G0P5,311,309,0.9935691318327974,-2,4,2,307,0.3319838568002437,0.15925668074262395,10.932118860165033,10.759391684107412
2026,S4_DELAY_180S,AGGRESSIVE_A5P0_G0P5,311,306,0.9839228295819936,-5,8,3,303,5.089660328652859,0.24826607486858748,19.100457752441805,14.259063498657534
2026,S5_ADVERSE_COMBINED,BALANCED_A3P5_G0P5,311,309,0.9935691318327974,-2,4,2,307,0.12793542720090673,0.037026722970527996,10.932118860165033,10.841210155934656
2026,S5_ADVERSE_COMBINED,AGGRESSIVE_A5P0_G0P5,311,306,0.9839228295819936,-5,8,3,303,4.7101094897846085,0.09306429947435715,19.100457752441805,14.483412562131557
