period,scenario,variant,max_trade_R,top1_share_gross_positive,top5_share_gross_positive,SumR_ex_top1,SumR_ex_top5,clip5_EV,clip5_PF,clip5_SumR,clip5_positive_periods,clip3_EV,clip3_PF,clip3_SumR,clip3_positive_periods
historical,S0_BASE,CONTROL_A2P5_G0P5,4.246075491556813,0.005062257960340994,0.023312543805401754,75.58523580492655,60.27742414307302,0.026906407582232342,1.105187942912335,79.83131129648336,4,0.025259347457223757,1.0987489240327952,74.94448390558289,4
historical,S0_BASE,BALANCED_A3P5_G0P5,4.683048640670459,0.0054879590221299495,0.025460975781460612,95.78163801797562,78.73803244298907,0.03410206607557573,1.133442830390611,100.46468665864609,5,0.02950533092277294,1.1154556108483515,86.92270489848909,5
historical,S0_BASE,AGGRESSIVE_A5P0_G0P5,8.95298109251905,0.010463409423365305,0.03474312114155151,99.27415396960821,78.49930027236843,0.03507581459562075,1.1379719080651203,103.12289491112502,4,0.013340268068520822,1.0524743975509498,39.220388121451215,3
historical,S5_ADVERSE_COMBINED,CONTROL_A2P5_G0P5,4.33106076031979,0.005684312650609713,0.024667489996583313,-7.169552865104748,-21.63344666597072,-0.0009547568465472446,0.9962884401974164,-2.838492104784958,3,-0.0024359201271812203,0.9905305070510396,-7.241990538109768,3
historical,S5_ADVERSE_COMBINED,BALANCED_A3P5_G0P5,4.585679150597602,0.006151930228838153,0.02879823372584572,-19.19698253130086,-36.07764891102115,-0.004946277380062038,0.9807750115743373,-14.61130338070326,3,-0.009213745223472427,0.9641883922660156,-27.217403390137548,3
historical,S5_ADVERSE_COMBINED,AGGRESSIVE_A5P0_G0P5,8.801012409662102,0.011819703892863239,0.03978127216070111,-17.405976487031104,-38.22630426761492,-0.004705856727181116,0.9816129177518695,-13.849336348094026,3,-0.022303668154928145,0.9128534070255627,-65.63969537995354,1
2026,S0_BASE,CONTROL_A2P5_G0P5,2.5819413187600655,0.0279972869700217,0.11835399174626171,12.07058231726938,3.737785295237135,0.04636874568363749,1.188897611414058,14.652523636029446,4,0.04636874568363749,1.188897611414058,14.652523636029446,4
2026,S0_BASE,BALANCED_A3P5_G0P5,3.7397849979943563,0.037495936407456756,0.1593174321160307,18.428066986177438,6.2777849627217694,0.07059825472666176,1.2857766292600443,22.167851984171794,5,0.06727956364287191,1.2723428077703658,21.12578298386178,5
2026,S0_BASE,AGGRESSIVE_A5P0_G0P5,4.59418524159348,0.043558256915795575,0.18857098530285615,23.30746019360812,8.012648514460157,0.08942835075385128,1.35969376685545,27.901645435201598,6,0.06424908741307626,1.2584191263041855,20.045715272879796,5
2026,S5_ADVERSE_COMBINED,CONTROL_A2P5_G0P5,2.650012399211572,0.03877983983944229,0.1788257020427724,-17.079893801989293,-26.64989906332194,-0.04639833248481583,0.8256516903286043,-14.429881402777722,2,-0.04639833248481583,0.8256516903286043,-14.429881402777722,2
2026,S5_ADVERSE_COMBINED,BALANCED_A3P5_G0P5,3.55066986961677,0.0448379802961058,0.19204869720628248,-7.1393411164598355,-18.796794319432152,-0.011613822805317366,0.9566468108989435,-3.588671246843066,3,-0.014268651732167875,0.9467366114386926,-4.409013385239874,3
2026,S5_ADVERSE_COMBINED,AGGRESSIVE_A5P0_G0P5,4.662256322044986,0.05628630761175612,0.248577654066817,-4.608725162691151,-20.53642736459225,0.00017493842926089874,1.0006466868416288,0.05353115935383501,4,-0.021603659681406984,0.9201387453515988,-6.610719862510537,3
