variant,stress_survivor,tail_robust,all_six_scenarios_positive_both_samples,combined_positive_historical_years,combined_positive_forward_months,combined_frequency_ok,combined_dd_ok,stress_dominant_vs_control,verdict,hist_S0_SumR,hist_S0_DD,hist_S0_R_DD,fwd_S0_SumR,fwd_S0_DD,fwd_S0_R_DD,hist_S5_SumR,hist_S5_PF,hist_S5_DD,hist_S5_R_DD,fwd_S5_SumR,fwd_S5_PF,fwd_S5_DD,fwd_S5_R_DD,hist_S0_clip3_SumR,fwd_S0_clip3_SumR,hist_S5_clip3_SumR,fwd_S5_clip3_SumR,hist_S5_ex_top5,fwd_S5_ex_top5
CONTROL_A2P5_G0P5,False,False,False,3,2,True,False,False,FAILED_STRESS,79.83131129648336,20.46918397243448,3.9000729781895997,14.652523636029446,9.587359830977178,1.5283168561887606,-2.838492104784958,0.9962884401974164,50.817244633095825,-0.055856867590501534,-14.429881402777722,0.8256516903286043,21.542651917977878,-0.669828462053719,74.94448390558289,14.652523636029446,-7.241990538109768,-14.429881402777722,-21.63344666597072,-26.64989906332194
BALANCED_A3P5_G0P5,False,False,False,3,3,True,False,False,FAILED_STRESS,100.46468665864609,21.055173417476027,4.771496518535406,22.167851984171794,9.933105563149681,2.2317141243732648,-14.61130338070326,0.9807750115743373,71.38073757938352,-0.20469532644509067,-3.588671246843066,0.9566468108989435,14.972285128517452,-0.23968761054435078,86.92270489848909,21.12578298386178,-27.217403390137548,-4.409013385239874,-36.07764891102115,-18.796794319432152
AGGRESSIVE_A5P0_G0P5,False,False,False,3,4,True,False,False,FAILED_STRESS,108.22713506212726,33.14444622875535,3.2653173420116435,27.901645435201598,9.299532770080571,3.0003276643069303,-8.604964077369004,0.9885756127040293,74.12298820227407,-0.11609035585406967,0.05353115935383501,1.0006466868416288,13.418703348806645,0.003989294491601952,39.220388121451215,20.045715272879796,-65.63969537995354,-6.610719862510537,-38.22630426761492,-20.53642736459225
