file,bytes,sha256
E0_control.json,282,39bc64326588bfaa47d7cf7a32b22923d32a9b6413c151b5413694be19b38913
E0_row_parity_audit.json,400,0e3744cb41fbaa588e2603b34cd271c1a5872c3ba12568d16cd77a227666115a
E0_trades.csv.gz,165019,5e4584d0bc49cf6290d9077e970ce01eba151f0f7cbd1fb71ff9cd03e270d628
E1_trades.csv.gz,152159,a684e7acfe95af77c5cf4a61507c567f5f212b46de6a248065bd37670f7c1c26
E2_trades.csv.gz,152348,7d6177bc8e935da7a4cb8d78c311dd385a1728971cde651c1b5c19df63782888
E3_trades.csv.gz,210535,f4f5258c5e4569afe790b08d944d5977ccc7a91565ba89170296b9cabe027325
E4_trades.csv.gz,210176,c654a05faa2e047e045cde03b340ba80c10027e6a3f04b10bacef1cdbfb8427a
E5_trades.csv.gz,218937,7b14a2cbe2f923efd8059ea26730161788da752f89817f99270e59518aa1ee56
E6_D3_causal_flag_diagnostics.csv,103808,4c34ff34fdc04a1f950fd6e686cf31f26d574ce45b2f4c04f9a5783c8cd3e477
E6_trades.csv.gz,209370,86427cc93010468aa7aeccd4fcc296cc65d7ddceb5d23592c321186cf50e8ba6
EL4_paired_moving_block_5000.csv.gz,578285,66a3cb463d1e4fa80b8dfb72d15a9e61618acc847a482916bf62c4d53c7b1833
EntryLab_RUN_LOG.txt,5307,8e78207de270940a30d576efa7da3678ab2c940fa7b78c452624809e4e54940e
EntryLab_v001_TB_nonTB_breakdown.csv,1389,104abd3f4e9a30be64ee21e6ab1f7099177dd04b01df113551243a41c89fdca2
EntryLab_v001_arm_summary.csv,1379,9d237cc157db593bf8524cc880d78e7df3785d8882a1814a4cfd0987fb7c550e
EntryLab_v001_entry_mode_counts.csv,988,4c2029d4793b78695efafcb13592a47057de487af469da403735906a0dbdf00b
EntryLab_v001_gates.csv,362,fc77128652c0e94ff0dc4dd71744dccd46a81a628aa56df6956864d223e0edb0
EntryLab_v001_level_relation_diagnostics.csv,1653,4a87c8cee5cbf98430d517e892f1f99a0b27dc8925acf016d566daf1170a51c7
EntryLab_v001_missed_signals.csv,228756,5afcd1f87270a5038348aaca3ae9ffa5e9d8d90c0671dd34109bd9b077923e81
FINAL_VERDICT.json,1808,0a6c2bb1a7b43594c89d89fcb374fa23f1ab5820bf1c8d13f7c9f22b7f11cbbe
FXArena_EntryLab_TZ_v001_2026-07-24.md,7696,054194c697eb3f041f7cb99de56abc124c94712997fb563dfa602f2f50d8a822
FXArena_EntryLab_v001_Report.md,5807,b22c6ca2dddadc2e7958461cf7f4696d162475f6390ee6b37e03b8893a4382c3
SOURCE_INPUTS_SHA256.txt,631,7360caeec16d843c8c8cbaf75f6bcc97391aac04c506452327b530dee2072d03
paired_moving_block_sampler.py,856,622684b962b6478c4bbcda344f9a8ab54fc4865898d685c1df5e913675e6860c
paired_sampler_README.txt,173,7fecd450470d97e8fdd4fea5d11548f46dbc8ff8802eb5b37938ee89a3003b9f
run_entry_lab_v001.py,22008,c87884e2c634d95046f3f24c4b1214bf454be16088a6dac5ed51bec0a555cf3d
