policy,slice,original_n,traded_n,ev_per_original_5bps,trade_ev_5bps,pf_5bps,cum_r_5bps
ENTRY_PLUS_6H,2021,82,62,0.12372463235825656,0.1636358040867264,1.3820779374985857,10.145419853377037
ENTRY_PLUS_6H,2022,79,51,-0.06840679839957735,-0.10596347203071788,0.8235424034054815,-5.404137073566612
ENTRY_PLUS_6H,2023,83,53,-0.029795588834381624,-0.04666101647648443,0.9111622612563122,-2.4730338732536747
ENTRY_PLUS_6H,2024,94,64,0.0769656771230942,0.11304333827454462,1.255674397974204,7.2347736495708554
ENTRY_PLUS_6H,2025_H1,46,33,-0.09151883630114885,-0.12757171120766206,0.7656066387008921,-4.209866469852848
ENTRY_PLUS_6H,2025_H2,44,33,0.1280604008147842,0.17074720108637895,1.3813884879966811,5.634657635850505
ENTRY_PLUS_6H,2026_JAN_JUL,47,35,0.14607544830589264,0.19615845915362728,1.455984419255955,6.865546070376955
ENTRY_PLUS_6H,POOLED_RECENT,91,68,0.13736487589260946,0.1838265250915803,1.419039637270052,12.50020370622746
ENTRY_PLUS_6H,AUG_REUSED,1,0,0.0,,,0.0
SIGNAL_PLUS_6H,2021,82,50,0.16277965047372916,0.26695862677691584,1.8314765081572064,13.347931338845793
SIGNAL_PLUS_6H,2022,79,41,-0.02174423528723018,-0.04189742896807765,0.9150956687904126,-1.7177945876911838
SIGNAL_PLUS_6H,2023,83,37,-0.002855004581622214,-0.006404469737152564,0.9843397258387941,-0.23696538027464487
SIGNAL_PLUS_6H,2024,94,52,0.03573651858549627,0.0646006297507048,1.1589019580531332,3.3592327470366494
SIGNAL_PLUS_6H,2025_H1,46,25,-0.03526507027826826,-0.06488772931201357,0.85283989247418,-1.6221932328003394
SIGNAL_PLUS_6H,2025_H2,44,25,0.08180500022515852,0.143976800396279,1.3480640856207537,3.599420009906975
SIGNAL_PLUS_6H,2026_JAN_JUL,47,27,-0.07714210762126923,-0.13428440956295015,0.7188679181690458,-3.625679058199654
SIGNAL_PLUS_6H,POOLED_RECENT,91,52,-0.00028856097024921245,-0.000504981697936156,0.9988699937358957,-0.02625904829268011
SIGNAL_PLUS_6H,AUG_REUSED,1,0,0.0,,,0.0
SIGNAL_PLUS_12H,2021,82,62,0.179884338897515,0.23791154499348757,1.5563696503464541,14.75051578959623
SIGNAL_PLUS_12H,2022,79,49,-0.024859224584669163,-0.040079158003854386,0.9296201816712012,-1.9638787421888648
SIGNAL_PLUS_12H,2023,83,52,-0.0037633560135781415,-0.00600689517551894,0.9880787377645762,-0.31235854912698485
SIGNAL_PLUS_12H,2024,94,64,0.05734102611084968,0.08421963210031048,1.177478845436824,5.390056454419871
SIGNAL_PLUS_12H,2025_H1,46,32,-0.07964182278620834,-0.11448512025517452,0.794567919182592,-3.6635238481655845
SIGNAL_PLUS_12H,2025_H2,44,33,0.08763179761407752,0.11684239681876997,1.2479041244479507,3.855799095019409
SIGNAL_PLUS_12H,2026_JAN_JUL,47,35,0.2161899813472453,0.29031226066630084,1.631236981277441,10.160929123320528
SIGNAL_PLUS_12H,POOLED_RECENT,91,68,0.15402998042131802,0.20612835615205796,1.4428604075843896,14.016728218339942
SIGNAL_PLUS_12H,AUG_REUSED,1,0,0.0,,,0.0
