policy,original_n,eligible_n,traded_n,coverage,tp_share,sl_share,time_share,late_accept_n,net_ev_0bps,net_ev_5bps,net_ev_10bps,ev_per_original_5bps,pf_5bps,cum_r_5bps,max_dd_r_5bps,max_dd_pct_025,median_holding_h
ENTRY_PLUS_6H,475,331,327,0.9879154078549849,0.345565749235474,0.40061162079510704,0.25382262996941896,0,0.1296001628712339,0.06769601067706173,0.00579185848288958,0.04660335892926146,1.1412119397844727,22.136595491399184,13.898543280272449,3.4746358200681122,3.0
SIGNAL_PLUS_6H,475,331,257,1.0,0.26848249027237353,0.29571984435797666,0.4357976653696498,74,0.10961769926954841,0.050988139442893377,-0.0076414203837616695,0.027587267024891785,1.122674807398345,13.103951836823597,8.778105458222031,2.1945263645555078,2.25
SIGNAL_PLUS_12H,475,331,327,1.0,0.3669724770642202,0.41896024464831805,0.21406727828746178,4,0.1481963213772749,0.08629216918310277,0.02438801698893061,0.05940534594289389,1.1758411936897,28.217539322874607,11.437994051043567,2.859498512760892,2.75
