sample,signals,fills,fill_rate,ev_per_fill,policy_ev_per_signal,cum_atr,t_fill,pf_fill,dd_fill,median_delay_h,mean_delay_h,median_postfill_mae,median_postfill_mfe,stop_rate,long_fills,short_fills,window
2021,631,475,0.7527733755942948,0.2938930977804059,0.22123489928002027,139.5992214456928,1.8465406494282113,1.287090862693293,50.8806414218825,1.25,2.3794736842105264,1.6117377585044697,1.7510016726961388,0.6336842105263157,231,244,2021
2022,529,403,0.7618147448015122,-0.1916769322433505,-0.14602231322130482,-77.24580369407025,-1.2299646082114166,0.8287360246251048,90.35175513587643,1.25,2.3846153846153846,1.6579621415630892,1.6734177215189237,0.6674937965260546,214,189,2022
2023,572,458,0.8006993006993007,-0.18732141830894292,-0.14998812864597177,-85.79320958549586,-1.3082620653276051,0.8394654737668757,117.95488209012709,1.5,2.4918122270742358,1.7476037430425468,1.7792717238335791,0.665938864628821,213,245,2023
2024,583,471,0.8078902229845626,0.010087325043626767,0.008149451278813391,4.751130095548207,0.07032522522163581,1.0092721631234423,50.17898651629829,1.25,2.3423566878980893,1.6288858186125073,1.7541053936172728,0.6390658174097664,218,253,2024
2025_H1,256,199,0.77734375,0.058441170355389656,0.04542887851844743,11.629792900722542,0.18077037714131503,1.0485768538263427,54.11248417333712,1.25,2.5238693467336684,1.6262886597939732,1.7161983471074567,0.7035175879396985,98,101,2025_H1
2025_H2,309,256,0.8284789644012945,-0.36758874084515913,-0.3045395393409733,-94.10271765636074,-2.0193865824682904,0.704803392541621,118.71277196230511,1.25,2.5830078125,1.7018753413279806,1.5896575056548266,0.703125,124,132,2025_H2
2026_JAN_JUL,316,263,0.8322784810126582,0.12626978629496396,0.10509162593536558,33.208953795575525,0.5800371594528043,1.1131310752834531,46.687259453349775,1.25,2.222433460076046,1.6634883073496667,1.6938313050776712,0.6501901140684411,128,135,2026_JAN_JUL
AUG2026_REUSED_AUDIT,13,12,0.9230769230769231,-1.86748821173578,-1.7238352723714894,-22.40985854082936,-35.887603271002334,0.0,22.40985854082936,0.75,1.3333333333333333,2.0559005415884863,1.0558499433813755,1.0,8,4,AUG2026_REUSED_AUDIT
ALL_PRE_AUG,3196,2525,0.7900500625782227,-0.02691193374193576,-0.02126177493691733,-67.95263269838779,-0.4050047431566238,0.9760380204777828,321.6582633789317,1.25,2.4094059405940595,1.6590003550435595,1.6979523905588023,0.6601980198019802,1226,1299,ALL_PRE_AUG
POOLED_RECENT,625,519,0.8304,-0.11732902477993297,-0.09743002217725634,-60.893763860785214,-0.8232883122311806,0.9005530107530436,161.74178204095782,1.25,2.4002890173410405,1.6842561053057363,1.6144530161921258,0.6763005780346821,252,267,POOLED_RECENT
