sample,signals,fills,fill_rate,ev_per_fill,policy_ev_per_signal,cum_atr,t_fill,pf_fill,dd_fill,median_delay_h,mean_delay_h,median_postfill_mae,median_postfill_mfe,stop_rate,long_fills,short_fills,side
LONG,1563,1226,0.7843889955214332,-0.07906491289345506,-0.06201764760548682,-96.9335832073759,-0.8516021480238537,0.9309305462632808,197.31245643116472,1.25,2.4384176182707993,1.6911699769284598,1.7387901178559648,0.6753670473083198,1226,0,LONG
SHORT,1633,1299,0.7954684629516228,0.022310200545795304,0.017747060936306246,28.9809505089881,0.23507103148975603,1.0202320140668453,153.67214547619372,1.25,2.382024634334103,1.632772441684074,1.6612240809376098,0.6458814472671286,0,1299,SHORT
