n,limit_ev,immediate_ev,increment,depth_atr
2855,0.08605092712610268,-0.41394303084237366,0.4999939579684764,0.5
2525,0.01806612352707967,-0.9819194210273757,0.9999855445544554,1.0
2215,-0.02739214981201308,-1.5273775899925996,1.4999854401805863,1.5
1917,-0.12581745076267484,-2.1258085827397224,1.9999911319770476,2.0
