sample,signals,fills,fill_rate,ev_per_fill,policy_ev_per_signal,cum_atr,t_fill,pf_fill,dd_fill,median_delay_h,mean_delay_h,median_postfill_mae,median_postfill_mfe,stop_rate,long_fills,short_fills
IMMEDIATE_NOSTOP_ALL_SIGNALS,3196,3196,1.0,0.19282486297044094,0.19282486297044094,616.2682620535293,1.8334177803743579,1.1021082026697349,231.4313585976371,0.0,0.0,,,,1563,1633
LIMIT_0.5ATR_NOSTOP,3196,2855,0.8933041301627034,0.08605092712610268,0.07686964860607733,245.67539694502315,0.7964816126202193,1.0465585247583427,304.4640218378634,0.5,1.2850262697022767,1.6599082032518748,1.7221374692770421,0.6714535901926445,1393,1462
LIMIT_0.5ATR_STOP15,3196,2855,0.8933041301627034,0.05890910218888588,0.05262374428950851,168.1854867492692,0.8885754317445124,1.0518726219707568,126.65533378663517,0.5,1.2850262697022767,1.6599082032518748,1.7221374692770421,0.6714535901926445,1393,1462
LIMIT_1.0ATR_NOSTOP,3196,2525,0.7900500625782227,0.01806612352707967,0.014273142023115196,45.61696190587617,0.15981527255869848,1.0098826495834712,379.19975900459474,1.25,2.4094059405940595,1.6590003550435595,1.6979523905588023,0.6601980198019802,1226,1299
LIMIT_1.0ATR_STOP15,3196,2525,0.7900500625782227,-0.02691193374193576,-0.02126177493691733,-67.95263269838779,-0.4050047431566238,0.9760380204777828,321.6582633789317,1.25,2.4094059405940595,1.6590003550435595,1.6979523905588023,0.6601980198019802,1226,1299
LIMIT_1.5ATR_NOSTOP,3196,2215,0.6930538172715894,-0.02739214981201308,-0.018984233990490918,-60.67361183360897,-0.22806850088361943,0.9849962062522529,362.552195365295,2.25,3.3150112866817154,1.6516632722335858,1.8506073513172137,0.6383747178329571,1086,1129
LIMIT_1.5ATR_STOP15,3196,2215,0.6930538172715894,-0.011615834031074131,-0.008050398116029162,-25.7290723788292,-0.16822955037610798,0.9893865995983221,175.83955560760938,2.25,3.3150112866817154,1.6516632722335858,1.8506073513172137,0.6383747178329571,1086,1129
LIMIT_2.0ATR_NOSTOP,3196,1917,0.5998122653316645,-0.12581745076267484,-0.07546685016021516,-241.19205311204766,-0.9878391669553351,0.9319585610722616,405.5835586983397,3.25,4.085419926969223,1.6761497071851166,1.9585696670776866,0.6364110589462703,950,967
LIMIT_2.0ATR_STOP15,3196,1917,0.5998122653316645,-0.071470213056529,-0.04286871039717337,-137.00839842936608,-1.0193576133744633,0.9343738920779928,214.22618552485469,3.25,4.085419926969223,1.6761497071851166,1.9585696670776866,0.6364110589462703,950,967
