sample,signals,fills,fill_rate,ev_per_fill,policy_ev_per_signal,cum_atr,t_fill,pf_fill,dd_fill,median_delay_h,mean_delay_h,median_postfill_mae,median_postfill_mfe,stop_rate,long_fills,short_fills,side
LONG,1563,1226,0.7843889955214332,-0.14250513808749143,-0.11177946212109052,-174.7112992952645,-0.877896291011776,0.927353775528212,331.9202365091848,1.25,2.4384176182707993,1.6911699769284598,1.7387901178559648,0.6753670473083198,1226,0,LONG
SHORT,1633,1299,0.7954684629516228,0.16961374996238696,0.13492238897804082,220.32826120114066,1.0771615019300067,1.0996553243839962,203.0096057647248,1.25,2.382024634334103,1.632772441684074,1.6612240809376098,0.6458814472671286,0,1299,SHORT
