sample,signals,fills,fill_rate,ev_per_fill,policy_ev_per_signal,cum_atr,t_fill,pf_fill,dd_fill,median_delay_h,mean_delay_h,median_postfill_mae,median_postfill_mfe,stop_rate,long_fills,short_fills,window,depth_atr
2021,631,475,0.7527733755942948,0.3180374516498623,0.23941012604387416,151.0677895336846,1.454247988352673,1.2097238675380844,49.97254245864346,1.25,2.3794736842105264,1.6117377585044697,1.7510016726961388,0.6336842105263157,231,244,2021,1.0
2022,529,403,0.7618147448015122,-0.07504967896272578,-0.05717395202642437,-30.24502062197849,-0.28018101654553684,0.9583263393021206,90.33282853102912,1.25,2.3846153846153846,1.6579621415630892,1.6734177215189237,0.6674937965260546,214,189,2022,1.0
2023,572,458,0.8006993006993007,0.02356865555850581,0.018871406024118288,10.79444424579566,0.07849843045569367,1.012758778051954,198.09828139675224,1.5,2.4918122270742358,1.7476037430425468,1.7792717238335791,0.665938864628821,213,245,2023,1.0
2024,583,471,0.8078902229845626,0.0015564614181653833,0.0012574499621885,0.7330933279558955,0.005864903121173098,1.0008127706487806,69.73349466938029,1.25,2.3423566878980893,1.6288858186125073,1.7541053936172728,0.6390658174097664,218,253,2024,1.0
2025_H1,256,199,0.77734375,-0.28879733059805346,-0.22449479995708063,-57.47066878901264,-0.5780615261297896,0.8726887734548493,93.27690307824288,1.25,2.5238693467336684,1.6262886597939732,1.7161983471074567,0.7035175879396985,98,101,2025_H1,1.0
2025_H2,309,256,0.8284789644012945,-0.4002444479285408,-0.3315941057272053,-102.46257866970645,-1.214716136691608,0.8014458848822458,123.8102693871435,1.25,2.5830078125,1.7018753413279806,1.5896575056548266,0.703125,124,132,2025_H2,1.0
2026_JAN_JUL,316,263,0.8322784810126582,0.2783266269168731,0.23164526227575197,73.19990287913762,0.8413836110024059,1.1611210738610669,58.1017676342237,1.25,2.222433460076046,1.6634883073496667,1.6938313050776712,0.6501901140684411,128,135,2026_JAN_JUL,1.0
AUG2026_REUSED_AUDIT,13,12,0.9230769230769231,-5.44414959272568,-5.025368854823705,-65.32979511270817,-4.436623054616155,0.0003327816710525485,65.32979511270818,0.75,1.3333333333333333,2.0559005415884863,1.0558499433813755,1.0,8,4,AUG2026_REUSED_AUDIT,1.0
ALL_PRE_AUG,3196,2525,0.7900500625782227,0.01806612352707967,0.014273142023115196,45.61696190587617,0.15981527255869848,1.0098826495834712,379.19975900459474,1.25,2.4094059405940595,1.6590003550435595,1.6979523905588023,0.6601980198019802,1226,1299,ALL_PRE_AUG,1.0
POOLED_RECENT,625,519,0.8304,-0.05638280499146208,-0.04682028126491011,-29.26267579056882,-0.24122720214950097,0.9698434764796933,156.31256891901822,1.25,2.4002890173410405,1.6842561053057363,1.6144530161921258,0.6763005780346821,252,267,POOLED_RECENT,1.0
