Index,flow_id,signal_time,side,signal_i,signal_close,atr0,horizon_time,horizon_close,cost_atr,immediate_net_atr,immediate_gross_atr,filled,depth_atr,limit_price,fill_i,fill_time,delay_bars,delay_hours,stopped,postfill_mae_atr,postfill_mfe_atr,limit_net_atr,limit_bounded_net_atr
0,0,2021-01-01 00:00:00+00:00,1,46105,28786.75,178.38500000000073,2021-01-01 12:00:00+00:00,29290.02,0.08068713737141543,2.740570255346573,2.8212573927179885,False,2.0,28429.98,,,,,,,,,
1,1,2021-01-01 12:00:00+00:00,1,46153,29290.02,134.88714285714326,2021-01-02 00:00:00+00:00,29325.0,0.10857231971701178,0.15075558403320924,0.259327903750221,True,2.0,29020.245714285713,46176.0,2021-01-01 17:45:00+00:00,23.0,5.75,True,2.914478770612458,2.073987778142578,2.151755584033217,-1.6075723197170118
2,2,2021-01-02 00:45:00+00:00,1,46204,29215.89,117.40642857142848,2021-01-02 12:45:00+00:00,30660.12,0.12442201996726887,12.176693153818547,12.301115173785817,False,2.0,28981.077142857142,,,,,,,,,
3,3,2021-01-02 13:00:00+00:00,1,46253,30814.73,244.44285714285746,2021-01-03 01:00:00+00:00,32437.92,0.06303053883466768,6.577335307696789,6.640365846531457,False,2.0,30325.844285714284,,,,,,,,,
4,4,2021-01-03 01:00:00+00:00,-1,46301,32437.92,292.5007142857147,2021-01-03 13:00:00+00:00,34391.57,0.05544930049010861,-6.734578289186103,-6.679128988695994,True,2.0,33022.921428571426,46316.0,2021-01-03 04:45:00+00:00,15.0,3.75,True,3.887438614313521,0.9978144131516018,-4.735578289186108,-1.5564493004901085
5,5,2021-01-03 13:00:00+00:00,-1,46349,34391.57,362.2371428571423,2021-01-04 01:00:00+00:00,32831.93,0.047471070648273106,4.258106175512495,4.305577246160768,False,2.0,35116.044285714284,,,,,,,,,
6,6,2021-01-04 01:00:00+00:00,-1,46397,32831.93,384.2507142857131,2021-01-04 13:00:00+00:00,30953.13,0.042722015573909276,4.846793944058114,4.889515959632024,True,2.0,33600.43142857143,46404.0,2021-01-04 02:45:00+00:00,7.0,1.75,False,0.1382653810477118,15.095434342533101,6.845793944058119,6.845793944058119
7,7,2021-01-04 13:00:00+00:00,-1,46445,30953.13,796.8250000000005,2021-01-05 01:00:00+00:00,32524.09,0.019422790449596827,-1.9909472782605944,-1.9715244878109977,True,2.0,32546.780000000002,46489.0,2021-01-05 00:00:00+00:00,44.0,11.0,False,0.4432842845041224,0.6531798073604629,0.00805272173940617,0.00805272173940617
8,8,2021-01-05 01:00:00+00:00,-1,46493,32524.09,343.23714285714334,2021-01-05 13:00:00+00:00,31872.98,0.04737845346407725,1.8495899066035135,1.8969683600675908,False,2.0,33210.56428571429,,,,,,,,,
9,9,2021-01-05 13:15:00+00:00,1,46542,31733.26,284.3714285714286,2021-01-06 01:15:00+00:00,33776.0,0.055795443584848774,7.127556309655385,7.183351753240234,True,2.0,31164.51714285714,46545.0,2021-01-05 14:00:00+00:00,3.0,0.75,False,0.07657992565054599,11.729317793630065,9.128556309655384,9.128556309655384
10,10,2021-01-06 01:15:00+00:00,1,46590,33776.0,358.02499999999884,2021-01-06 13:15:00+00:00,34627.33,0.04716989037078432,2.330680818378617,2.3778507087494014,False,2.0,33059.950000000004,,,,,,,,,
11,11,2021-01-06 13:15:00+00:00,-1,46638,34627.33,401.7221428571429,2021-01-07 01:15:00+00:00,36999.93,0.0430986076019139,-5.949170857255633,-5.906072249653719,True,2.0,35430.77428571429,46661.0,2021-01-06 19:00:00+00:00,23.0,5.75,True,2.357788165594189,2.740138439682016,-3.9501708572556327,-1.5440986076019139
12,12,2021-01-07 01:15:00+00:00,1,46686,36999.93,417.39142857142934,2021-01-07 13:15:00+00:00,38389.09,0.044322819621184555,3.2838720231779543,3.328194842799139,False,2.0,36165.14714285714,,,,,,,,,
13,13,2021-01-07 13:15:00+00:00,-1,46734,38389.09,357.06785714285746,2021-01-08 01:15:00+00:00,38578.62,0.0537560147631002,-0.584551481811197,-0.5307954670480968,True,2.0,39103.22571428571,46745.0,2021-01-07 16:00:00+00:00,11.0,2.75,True,1.5760989807859687,0.35067764230487286,1.414448518188806,-1.5547560147631
