group,auc_drop_mean,auc_drop_sd
BIAS_LOCATION,0.014075458208761183,0.004735039385475738
H1_ROOM,0.00772227999480044,0.005183966443087533
H1_STRUCTURE,0.005164110230079277,0.005194192966360329
SESSION_ROOM,0.004964578187963098,0.0039455152430225215
M15_ROOM,0.0018211360977512304,0.0053659118766283456
M15_STRUCTURE,0.00047608215260626087,0.0019655510837937283
ROOM_AGGREGATE,0.00027931236188742935,0.004206619973662245
VWAP_ROOM,-0.002247660210581004,0.002217730669501126
