nearest_type,n,tp15_rate,ind_ev,mean_room
M15_SWING,1438,0.3282336578581363,-0.1761082185579999,0.18314078309156548
H1_SWING,436,0.3669724770642202,-0.09113197169301705,0.20761061882932977
CURRENT_SESSION,262,0.33587786259541985,-0.19286293310579272,0.397845869422023
VWAP,184,0.31521739130434784,-0.22539605853178854,0.3421097109168644
PREV_SESSION,33,0.15151515151515152,-0.6563454615811011,0.26900157780231615
OPEN_SPACE,1,1.0,1.4667788894395617,5.0
