Index,parent_id,parent_time,parent_i,signal_time,signal_i,event_time,event_i,impulse_dir,split,child_rule,event_open,event_high,event_low,event_close,child_range,parent_exit_i,router_conf,p_rev,p_cont,source_row,entry,filled,fill_time,fill_i,outcome,gross_R,cost_R,signal_net_R,stop_frac,exit_time,episode_7d,prior_virtual_fills,vf1_mature,real_fill,real_R,price_side,flow_time,ratio,delta_ls_12,q20,q80,flow_side,history_n,signal_price_time,signal_close,atr14_signal,future12_move_atr,price_signed12_atr,flow_signed12_atr,flow_extreme,flow_agree,flow_conflict,fill_price_time,execution_atr,side,exit_time_12h,stopped,gross_atr,cost_atr,net_atr
3,3,2021-02-16 07:45:00+00:00,4442,2021-02-16 09:15:00+00:00,4448,2021-02-16 07:45:00+00:00,4448,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,49085.04,49129.43,48900.0,49016.52,229.4300000000003,4538,0.3419328459211035,0.3419328459211035,0.1484178964319936,3,49131.235,True,2021-02-16 09:45:00+00:00,4450.0,TP,1.5,0.1070723859129144,1.3929276140870854,0.0046697381004161,2021-02-16 10:30:00+00:00,2,1,True,True,1.3929276140870854,-1,2021-02-16 09:15:00+00:00,2.1891415,0.2674239999999999,-0.07960859400000016,0.07961504200000001,-1,8637,2021-02-16 09:15:00+00:00,49119.02,346.5842857142852,-1.6847272772238313,1.6847272772238313,1.6847272772238313,True,True,False,2021-02-16 09:45:00+00:00,315.84642857142796,-1,2021-02-16 21:45:00+00:00,False,1.5361421124642356,0.07777709442880258,1.458365018035433
6,6,2021-03-09 07:45:00+00:00,6452,2021-03-09 10:30:00+00:00,6463,2021-03-09 07:45:00+00:00,6463,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,54148.43,54150.0,53875.0,54036.01,275.0,6548,0.3221194084086901,0.3221194084086901,0.1441539298824958,6,54173.51,True,2021-03-09 10:45:00+00:00,6464.0,TP,1.5,0.0984972909090909,1.4015027090909091,0.0050762817472967,2021-03-09 12:30:00+00:00,4,0,False,False,0.0,-1,2021-03-09 10:30:00+00:00,1.94438832,0.16982878,-0.09246748200000007,0.09626478599999996,-1,8618,2021-03-09 10:30:00+00:00,54117.16,309.07714285714246,1.0114626953973442,-1.0114626953973442,-1.0114626953973442,True,True,False,2021-03-09 10:45:00+00:00,312.53999999999934,-1,2021-03-09 22:45:00+00:00,False,-2.193255263326286,0.08666652268509649,-2.2799217860113825
14,14,2021-05-08 11:45:00+00:00,12200,2021-05-08 12:00:00+00:00,12201,2021-05-08 11:45:00+00:00,12201,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,58556.09,58604.19,58213.76,58337.11,390.4300000000003,12296,0.3364589098833516,0.3364589098833516,0.1185557037616244,14,58532.325,True,2021-05-08 12:15:00+00:00,12202.0,SL,-1.0,0.0749587954306789,-1.074958795430679,0.0066703313083838,2021-05-08 12:45:00+00:00,7,1,True,True,-1.074958795430679,-1,2021-05-08 12:00:00+00:00,2.57090084,0.37842741,-0.11961660800000001,0.121918958,-1,8614,2021-05-08 12:00:00+00:00,58387.31,300.8000000000008,1.6001662234042568,-1.6001662234042568,-1.6001662234042568,True,True,False,2021-05-08 12:15:00+00:00,295.63928571428653,-1,2021-05-09 00:15:00+00:00,False,-1.7172108868191258,0.09899280614648616,-1.816203692965612
26,26,2021-08-14 11:45:00+00:00,21590,2021-08-14 12:15:00+00:00,21592,2021-08-14 11:45:00+00:00,21592,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,46407.88,46474.57,46263.06,46310.5,211.51000000000204,21686,0.3421296469425918,0.3421296469425918,0.1739727251691462,26,46416.255000000005,True,2021-08-14 12:30:00+00:00,21593.0,SL,-1.0,0.109725911304429,-1.109725911304429,0.0045568088162218,2021-08-14 14:00:00+00:00,10,4,True,True,-1.109725911304429,-1,2021-08-14 12:15:00+00:00,1.39165795,0.3360907799999999,-0.09370276999999994,0.09426998000000009,-1,8606,2021-08-14 12:15:00+00:00,46327.66,429.7221428571434,1.803025543083475,-1.803025543083475,-1.803025543083475,True,True,False,2021-08-14 12:30:00+00:00,420.5442857142859,-1,2021-08-15 00:30:00+00:00,False,-1.4616891035766437,0.05518592996830637,-1.5168750335449501
36,36,2021-10-15 07:45:00+00:00,27518,2021-10-15 10:15:00+00:00,27528,2021-10-15 07:45:00+00:00,27528,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,59248.8,59398.97,59000.0,59015.67,398.9700000000012,27614,0.3170809003385542,0.3170809003385542,0.1828317199702373,36,59215.155,True,2021-10-15 10:45:00+00:00,27530.0,SL,-1.0,0.0742100345890666,-1.0742100345890666,0.0067376332967464,2021-10-15 13:15:00+00:00,14,0,False,False,0.0,-1,2021-10-15 10:15:00+00:00,0.90913107,0.08460383000000005,-0.07160463000000006,0.06835872599999994,-1,8640,2021-10-15 10:15:00+00:00,59046.02,283.0785714285708,8.13901238929124,-8.13901238929124,-8.13901238929124,True,True,False,2021-10-15 10:45:00+00:00,278.73785714285674,-1,2021-10-15 22:45:00+00:00,False,-7.663167902253278,0.10622015180674126,-7.769388054060019
40,40,2022-01-07 07:45:00+00:00,35582,2022-01-07 08:00:00+00:00,35583,2022-01-07 07:45:00+00:00,35583,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,41706.71,41800.0,41607.5,41754.17,192.5,35678,0.3891158491495493,0.3891158491495493,0.2174693442151616,40,41657.92,True,2022-01-07 08:15:00+00:00,35584.0,TP,1.5,0.1082023896103896,1.3917976103896104,0.0046209700340295,2022-01-07 08:15:00+00:00,17,0,False,False,0.0,1,2021-12-30 15:00:00+00:00,2.839323717190825,-0.24936640280539546,-0.08623574616585071,0.09997348166433963,1,8640,2022-01-07 08:00:00+00:00,41736.48,260.09928571428566,-0.1118419065247208,-0.1118419065247208,-0.1118419065247208,True,True,False,2022-01-07 08:15:00+00:00,328.53785714285704,1,2022-01-07 20:15:00+00:00,False,0.04136509599895055,0.0633989646768257,-0.022033868677875143
77,77,2023-02-10 07:45:00+00:00,73886,2023-02-10 10:45:00+00:00,73898,2023-02-10 07:45:00+00:00,73898,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,21827.97,21855.47,21827.05,21849.38,28.42000000000189,73982,0.3602286776075005,0.3602286776075005,0.2660279478193906,77,21835.17,True,2023-02-10 11:00:00+00:00,73899.0,SL,-1.0,0.3841514778324867,-1.3841514778324866,0.0013015698984712,2023-02-10 11:00:00+00:00,33,1,True,True,-1.3841514778324866,1,2023-02-10 10:45:00+00:00,1.5891336032388663,-0.057700577805084974,-0.03905613450592473,0.03610946474158376,1,8640,2023-02-10 10:45:00+00:00,21841.7,38.79999999999979,-7.247422680412429,-7.247422680412429,-7.247422680412429,True,True,False,2023-02-10 11:00:00+00:00,39.77142857142852,1,2023-02-10 23:00:00+00:00,False,-6.214762931034446,0.27450824353448305,-6.4892711745689295
84,84,2023-03-30 03:45:00+00:00,78473,2023-03-30 04:45:00+00:00,78477,2023-03-30 03:45:00+00:00,78477,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,28613.01,28628.83,28560.38,28587.64,68.45000000000073,78569,0.3645353181131145,0.3645353181131145,0.1556497028624433,84,28621.865,True,2023-03-30 05:45:00+00:00,78481.0,SL,-1.0,0.2090713294375434,-1.2090713294375437,0.0023915282948892,2023-03-30 07:30:00+00:00,36,0,False,False,0.0,-1,2023-03-30 04:45:00+00:00,0.7502413633883223,0.04881271043114377,-0.04118964817987893,0.03604082896034547,-1,8640,2023-03-30 04:45:00+00:00,28567.6,232.96428571428598,-1.4285451479380606,1.4285451479380606,1.4285451479380606,True,True,False,2023-03-30 05:45:00+00:00,198.08571428571435,-1,2023-03-30 17:45:00+00:00,False,3.9945586326265827,0.07224616147410932,3.9223124711524733
117,117,2024-05-06 11:45:00+00:00,117193,2024-05-06 12:15:00+00:00,117195,2024-05-06 11:45:00+00:00,117195,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,64164.75,64164.76,63750.04,63821.01,414.7200000000012,117289,0.3826021337630398,0.3826021337630398,0.1594260223819499,117,64028.37,True,2024-05-06 12:30:00+00:00,117196.0,TP,1.5,0.0771946976273146,1.4228053023726854,0.0064771288102446,2024-05-06 12:45:00+00:00,54,3,True,True,1.4228053023726854,-1,2024-05-06 12:15:00+00:00,1.24776222,0.08319099000000008,-0.05642574,0.051307290000000005,-1,8601,2024-05-06 12:15:00+00:00,63794.1,308.47142857142796,-1.7839577640902038,1.7839577640902038,1.7839577640902038,True,True,False,2024-05-06 12:30:00+00:00,330.82142857142804,-1,2024-05-07 00:30:00+00:00,False,1.5158328835150658,0.09677179963294846,1.4190610838821174
143,143,2025-02-02 23:45:00+00:00,143353,2025-02-03 03:15:00+00:00,143367,2025-02-02 23:45:00+00:00,143367,-1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,94348.07,94688.0,94280.21,94436.0,407.7899999999936,143449,0.3389049086897864,0.3389049086897864,0.2266341417431717,143,94232.105,True,2025-02-03 03:30:00+00:00,143368.0,SL,-1.0,0.1155399899458072,-1.1155399899458072,0.0043275060023332,2025-02-03 03:30:00+00:00,68,1,True,True,-1.1155399899458072,1,2025-02-03 03:15:00+00:00,2.03340148,-0.11697662999999991,-0.043994300000000076,0.04363799200000006,1,8640,2025-02-03 03:15:00+00:00,94403.8,1368.9928571428547,2.8387292013419696,2.8387292013419696,2.8387292013419696,True,True,False,2025-02-03 03:30:00+00:00,1384.7071428571403,1,2025-02-03 15:30:00+00:00,False,3.1448490913499096,0.03402600524092259,3.110823086108987
