p_quartile,n,mean_p,ev,tp
Q1,1719,0.12193233666051431,-0.18011969992354251,0.3216986620127981
Q2,1719,0.31502081590874054,-0.15318322867735196,0.3310063990692263
Q3,1719,0.5972164291452705,-0.18044438805120372,0.3135543920884235
Q4,1719,0.796269032426786,-0.17359808299741292,0.3321698662012798
