R,signal_ts,probe_entry_ts,confirm_entry_ts,exit_ts,probe_R,confirm_R,confirmed,terminal_reason
1.1129604881600148,1609490400,1609492800,1609492860,1609579260,1.106913891098236,1.1144721374254596,True,CONFIRMED
-0.2085085290764638,1609747800,1609747860,0,1609753200,-1.042542645382319,0.0,False,PROBE_SL
-0.24112465838590735,1609754400,1609754460,0,1609755360,-1.2056232919295367,0.0,False,PROBE_SL
0.7099496894859205,1609755600,1609755840,1609755900,1609842300,0.7392692022695264,0.702619811290019,True,CONFIRMED
-1.0011408478608448,1609842600,1609842660,1609842720,1609869960,-1.0011419933723795,-1.0011405614829612,True,CONFIRMED
-1.0010019433844048,1610280000,1610280060,1610280900,1610300220,-1.0009972247853023,-1.0010031230341805,True,CONFIRMED
-1.0010200047106261,1610300400,1610300460,1610300520,1610310420,-1.0010176271144782,-1.001020599109663,True,CONFIRMED
-1.0004902466227639,1610310600,1610310660,1610310720,1610347740,-1.000489080374931,-1.000490538184722,True,CONFIRMED
-1.0008290590426931,1610446500,1610450160,1610450220,1610459760,-1.0008280609254827,-1.0008293085719957,True,CONFIRMED
-1.0009509486846904,1610535600,1610535660,1610535900,1610574420,-1.0009559188376524,-1.0009497061464498,True,CONFIRMED
0.31051181651069654,1610593500,1610595900,1610603220,1610689620,0.724769818216798,0.20694731608417116,True,CONFIRMED
-1.0010431596990106,1610721900,1610722440,1610722500,1610726220,-1.001042730945985,-1.001043266887267,True,CONFIRMED
-0.038685091493673954,1610727900,1610730720,0,1610731200,-0.19342545746836975,0.0,False,SIGN_FLIP
-0.5405561248896303,1610734500,1610735100,1610736060,1610822460,-0.3754761578848368,-0.5818261166408286,True,CONFIRMED
0.24821933986862857,1610921100,1610921160,1610921280,1611007680,0.27251885156016703,0.24214446194574393,True,CONFIRMED
-1.0018750821128983,1611007800,1611007860,1611008220,1611020760,-1.0018760121106396,-1.0018748496134628,True,CONFIRMED
-0.021621521616787022,1611093900,1611095160,0,1611097200,-0.1081076080839351,0.0,False,SIGN_FLIP
-0.053921207876457704,1611342300,1611342360,0,1611349200,-0.2696060393822885,0.0,False,SIGN_FLIP
-0.14257050069663543,1611350700,1611351180,0,1611361500,-0.7128525034831771,0.0,False,TIMEOUT
-0.6033366457006353,1611361800,1611362040,1611363180,1611449580,-0.4972563919790892,-0.6298567091310219,True,CONFIRMED
-1.0019244979401745,1611492600,1611494160,1611496440,1611546000,-1.0019305725714958,-1.001922979282344,True,CONFIRMED
-1.0013361710991806,1611549900,1611549960,1611550500,1611612900,-1.0013329178581953,-1.0013369844094269,True,CONFIRMED
0.09339514893150153,1611613200,1611613260,1611613560,1611699960,0.17143055807603302,0.07388629664536864,True,CONFIRMED
2.2208373796812357,1611702300,1611702780,1611702840,1611757860,2.2208389006043863,2.220836999450448,True,CONFIRMED
-0.03075792282536352,1611818100,1611818220,0,1611820500,-0.1537896141268176,0.0,False,SIGN_FLIP
2.220849696345355,1611842100,1611842700,1611852660,1611910440,2.220863221999564,2.2208463149318023,True,CONFIRMED
0.2520641294609191,1611979800,1611979980,1611980160,1612066560,0.2967392467879166,0.2408953501291697,True,CONFIRMED
-1.001797276012391,1612067100,1612068960,1612069020,1612106040,-1.0017978993818153,-1.0017971201700349,True,CONFIRMED
-1.0014076830065815,1612106400,1612107000,1612107060,1612161600,-1.0014054655863676,-1.0014082373616349,True,CONFIRMED
-0.02746923719304008,1612196100,1612197180,0,1612197600,-0.1373461859652004,0.0,False,SIGN_FLIP
-1.0018832974468568,1612224900,1612227420,1612227480,1612256340,-1.0018845077365168,-1.0018829948744419,True,CONFIRMED
-0.7350218315806762,1612677900,1612679580,1612679880,1612765980,0.33074980939043636,-1.0014647418234544,True,CONFIRMED
2.2205221254970087,1612769100,1612769160,1612769280,1612788600,2.2205231664179492,2.2205218652667735,True,CONFIRMED
1.0202213616764828,1612969800,1612969920,1612970280,1613056680,1.036470711730364,1.0161590241630125,True,CONFIRMED
1.3637554935763823,1613214000,1613215800,1613215860,1613302260,1.3413177357580806,1.3693649330309576,True,CONFIRMED
0.7226431325726386,1613363700,1613363760,1613372640,1613459040,1.0439465260947647,0.6423172841921069,True,CONFIRMED
-0.05463256256508042,1613712300,1613712600,0,1613715600,-0.2731628128254021,0.0,False,SIGN_FLIP
2.2209270559828607,1613973600,1613973660,1613984220,1614003180,2.2209244592562913,2.2209277051645024,True,CONFIRMED
-1.0006559749795798,1614003300,1614005160,1614005220,1614067860,-1.0006556256322037,-1.0006560623164238,True,CONFIRMED
0.24018947495269327,1614139200,1614141540,1614141600,1614228000,0.24717365628935387,0.2384434296185281,True,CONFIRMED
-1.0016937113403828,1614243000,1614243180,1614243240,1614257700,-1.0016964114406126,-1.0016930363153254,True,CONFIRMED
2.221140207164394,1614268800,1614268920,1614271920,1614323880,2.2211392861818027,2.221140437410042,True,CONFIRMED
-1.0012492105161677,1614560400,1614560520,1614561180,1614602940,-1.0012531230254562,-1.0012482323888456,True,CONFIRMED
0.3684424166872165,1614603900,1614604500,1614604560,1614690960,0.3277888721892365,0.37860580281171147,True,CONFIRMED
2.2210299044686903,1614704700,1614707640,1614707760,1614775800,2.221027917901036,2.2210304011106037,True,CONFIRMED
-1.0012922374693995,1614841200,1614849840,1614849900,1614868500,-1.0012921334717433,-1.0012922634688135,True,CONFIRMED
-1.0012645241808893,1614869400,1614875040,1614875100,1614883680,-1.0012634744191602,-1.0012647866213216,True,CONFIRMED
-0.29784908134039745,1614883800,1614883860,1614883980,1614970380,-0.31879187093560407,-0.29261338394159575,True,CONFIRMED
-1.001453904284862,1614978900,1614980280,1614980340,1615035360,-1.0014537070677914,-1.0014539535891296,True,CONFIRMED
2.2202078754073074,1615064400,1615064460,1615064760,1615126080,2.2202082897061817,2.2202077718325888,True,CONFIRMED
-0.012817709683611163,1615458300,1615458360,0,1615458600,-0.06408854841805581,0.0,False,SIGN_FLIP
-0.4669750374552929,1615793100,1615801260,1615801320,1615887720,-1.0013806079829632,-0.3333736448233753,True,CONFIRMED
-1.001687834042933,1615950600,1615951320,1615951560,1616007300,-1.0016880102246144,-1.0016877899975125,True,CONFIRMED
-0.17220230728858182,1616013000,1616013060,1616013120,1616099520,-0.21588416127844354,-0.16128184379111637,True,CONFIRMED
0.317123594442611,1616122200,1616123640,1616128020,1616214420,0.4916991477193178,0.2734797061234343,True,CONFIRMED
2.2199003203215004,1616286600,1616286960,1616288640,1616319780,2.2198930258839016,2.2199021439309,True,CONFIRMED
-1.0016192257275938,1616320500,1616320560,1616320620,1616339700,-1.0016207771065382,-1.0016188378828577,True,CONFIRMED
2.2193245858011257,1616357100,1616357160,1616362200,1616445720,2.219319892511973,2.219325759123414,True,CONFIRMED
1.727672798795165,1616574000,1616574060,1616574180,1616660580,1.8098092994607053,1.70713867362878,True,CONFIRMED
-1.0018120386168656,1616745600,1616745660,1616745720,1616802720,-1.0018119076735101,-1.0018120713527046,True,CONFIRMED
-1.002235364421486,1616802900,1616803200,1616803260,1616849400,-1.0022326953344654,-1.0022360316932413,True,CONFIRMED
1.120363192703052,1616849700,1616849820,1616849880,1616936280,1.1271844891671265,1.1186578685870332,True,CONFIRMED
