period,variant,N,EV,PF,SumR,MaxDD_R,R_DD,MaxConsecutiveLosses
historical,baseline,1006,0.0019086772739333416,1.0038379111781415,1.9201293375769417,43.98470845259128,0.04365447459192652,12
historical,staged,1210,0.03327865328823607,1.081685913835385,40.26717047876565,21.392383700881197,1.882313399095724,15
2026,baseline,97,0.15654544843596743,1.3655535503153073,15.184908498288841,7.264802130649438,2.090202627023426,5
2026,staged,127,0.12643886452311853,1.3199372304827068,16.057735794436052,5.578067125013741,2.878727601256053,6
