episode,start,end,n,r
0,2023-03-23 13:00:00,2023-03-30 04:09:00,12,-4.995175874868843
1,2023-04-05 16:00:00,2023-04-17 17:40:00,8,-5.898940343000504
2,2023-05-03 17:00:00,2023-05-09 03:04:00,8,1.6399636665657504
3,2023-07-17 21:00:00,2023-07-24 21:12:00,5,-0.32864890451809914
4,2023-09-04 05:00:00,2023-09-04 16:22:00,1,-1.0916050486271678
5,2023-10-18 17:00:00,2023-10-25 16:54:00,8,4.112489502071723
6,2023-10-30 12:00:00,2023-10-31 16:58:00,1,1.442092963921008
7,2023-11-16 20:00:00,2023-11-24 15:35:00,8,1.4796638272212785
8,2023-11-28 22:00:00,2023-12-08 16:23:00,11,3.465269658075804
9,2023-12-18 20:00:00,2024-01-02 03:05:00,6,1.1235630046922969
10,2024-02-01 00:00:00,2024-02-05 10:21:00,3,-0.6434433705551668
11,2024-03-04 10:00:00,2024-03-15 08:48:00,16,5.5953305170934975
12,2024-03-18 12:00:00,2024-04-17 17:45:00,31,2.806866868611184
13,2024-05-10 12:00:00,2024-05-22 21:41:00,15,-0.6606189657271566
14,2024-06-07 02:00:00,2024-06-07 11:02:00,1,-1.054905772559371
15,2024-07-05 21:00:00,2024-07-19 09:08:00,19,-0.04421094838017692
16,2024-08-01 16:00:00,2024-08-05 14:41:00,9,-4.320562026587373
17,2024-08-19 02:00:00,2024-08-23 16:17:00,6,-1.3102487027611103
18,2024-09-06 21:00:00,2024-10-02 07:16:00,19,7.530926129565997
19,2024-10-14 18:00:00,2024-10-15 17:21:00,1,1.447385756584702
20,2024-10-23 21:00:00,2024-10-24 09:30:00,1,1.4511000964834078
21,2024-10-30 04:00:00,2024-11-04 01:05:00,4,-1.7238596015109235
22,2024-12-11 22:00:00,2024-12-13 11:42:00,3,-3.1353204663649645
23,2025-01-10 20:00:00,2025-01-29 15:17:00,17,1.953914348340628
24,2025-02-03 11:00:00,2025-02-18 16:10:00,22,11.909609802204354
25,2025-02-25 20:00:00,2025-02-26 16:31:00,1,-1.0353401562164204
26,2025-03-06 02:00:00,2025-03-06 10:13:00,1,-1.0445157263747555
27,2025-03-13 23:00:00,2025-03-14 13:10:00,1,1.44734841257583
28,2025-03-20 04:00:00,2025-03-20 10:47:00,1,-1.0589140017841916
29,2025-03-24 20:00:00,2025-04-04 15:38:00,14,5.46632587232963
30,2025-04-10 16:00:00,2025-04-11 19:06:00,3,4.427626744740561
31,2025-04-22 09:00:00,2025-04-25 16:31:00,9,-4.176130057256315
32,2025-05-06 14:00:00,2025-05-08 19:14:00,6,-1.1776841305094143
33,2025-05-22 23:00:00,2025-05-23 08:25:00,1,1.468444876476867
34,2025-06-13 16:00:00,2025-06-17 17:37:00,2,-2.0743360741645196
35,2025-07-14 16:00:00,2025-07-16 18:07:00,2,0.40009802651305515
36,2025-07-22 20:00:00,2025-07-24 15:49:00,3,-3.1681674838733667
37,2025-08-29 23:00:00,2025-09-12 06:17:00,15,9.253621725161306
38,2025-09-18 12:00:00,2025-09-18 16:34:00,1,-1.039239686115438
39,2025-09-22 12:00:00,2025-09-26 06:01:00,6,-1.2931450117342427
40,2025-09-30 04:00:00,2025-10-22 03:02:00,31,17.95756690709349
41,2025-11-13 08:00:00,2025-11-17 21:33:00,5,-5.14044725068946
42,2025-11-26 10:00:00,2025-11-28 03:04:00,1,1.4611328192094946
43,2025-12-02 23:00:00,2025-12-04 07:40:00,1,-1.0329887622718854
44,2025-12-12 12:00:00,2025-12-16 16:15:00,4,0.8412612289713661
45,2025-12-19 21:00:00,2025-12-31 07:53:00,12,-2.4484676522405016
46,2026-01-06 20:00:00,2026-01-07 15:08:00,2,-2.070964662859936
47,2026-01-15 13:00:00,2026-01-30 19:42:00,22,9.942333550226381
48,2026-03-02 18:00:00,2026-03-04 03:50:00,6,-3.5991821598074507
