family,bucket,train_n,signals,on_n,coverage,base_filled,gated_filled,base_cum_R,gated_cum_R,delta_cum_R,base_ev_per_opportunity,gated_ev_per_opportunity,gated_ev_per_traded_signal,base_pf,gated_pf,base_maxdd_R,gated_maxdd_R,base_max_consecutive_losses,gated_max_consecutive_losses,threshold
ROUTER_ONLY,2022,47,33,12,0.36363636363636365,20,9,-2.789905950092312,2.6439863307319333,5.433892280824246,-0.08454260454825188,0.08012079790096768,0.22033219422766112,0.7811072930542744,1.6028210777994545,5.87259804938012,2.0895556080131743,2,2,0.200151358587202
ROUTER_ONLY,2023,80,9,2,0.2222222222222222,6,2,1.5706208683097895,-0.6707843711370158,-2.2414052394468054,0.17451342981219883,-0.07453159679300175,-0.3353921855685079,1.698167931773271,0.3937350870692727,2.249631924973383,1.1064212307692307,1,1,0.12051504104423262
ROUTER_ONLY,2024,89,33,23,0.696969696969697,24,16,-5.6610114576703765,-7.136667903712052,-1.4756564460416755,-0.17154580174758716,-0.21626266374885006,-0.3102899088570457,0.6711993855615386,0.4480106002510917,9.482021730643114,8.102966004882616,4,3,0.13341671926815749
ROUTER_ONLY,2025,122,27,20,0.7407407407407407,18,14,4.962343155673568,1.8288759748559806,-3.133467180817587,0.18379048724716918,0.06773614721688817,0.091443798742799,1.555518398122641,1.2359518244997316,4.061983193932155,4.348826453113356,3,2,0.034306454733883954
ROUTER_ONLY,2026_JAN_JUL,149,22,8,0.36363636363636365,15,7,6.172553540376626,2.4411018100348647,-3.731451730341761,0.2805706154716648,0.11095917318340294,0.3051377262543581,1.9289693029183879,1.7418481078895531,2.2803130256894093,1.180329695193435,2,1,0.06423234037213991
ROUTER_ONLY,FRESH_AUG2026,171,0,0,,0,0,0.0,0.0,0.0,,,,,,,,0,0,
TREND_ONLY,2022,47,33,15,0.45454545454545453,20,7,-2.789905950092312,-3.9138263401329847,-1.1239203900406727,-0.08454260454825188,-0.11860079818584802,-0.2609217560088657,0.7811072930542744,0.26959426743788584,5.87259804938012,3.913826340132985,2,1,0.18431813969261646
TREND_ONLY,2023,80,9,7,0.7777777777777778,6,4,1.5706208683097895,2.1340375060906505,0.5634166377808609,0.17451342981219883,0.23711527845451671,0.3048625008700929,1.698167931773271,2.8667053386657324,2.249631924973383,1.1432106942041527,1,1,0.08868368022589132
TREND_ONLY,2024,89,33,20,0.6060606060606061,24,16,-5.6610114576703765,-1.990257510319596,3.6707539473507804,-0.17154580174758716,-0.06031083364604837,-0.09951287551597977,0.6711993855615386,0.8126732312090301,9.482021730643114,6.99383225733053,4,2,0.0809878922333914
TREND_ONLY,2025,122,27,14,0.5185185185185185,18,9,4.962343155673568,0.11569100079173134,-4.846652154881837,0.18379048724716918,0.0042848518811752345,0.008263642913695095,1.555518398122641,1.0205669137655902,4.061983193932155,3.405346228990242,3,2,0.020278322426093613
