feature,on_mean,off_mean,on_minus_off
router_margin,0.11861060813091812,0.14432128915011422,-0.025710681019196102
router_conf,0.35198769845071143,0.37344232558154233,-0.021454627130830906
signed_ret24h,0.028228671737462165,0.03143520149362691,-0.0032065297561647485
signed_ret7d,0.012602801954020167,0.07432383120578745,-0.061721029251767284
signed_ret30d,-0.023709298893827162,0.08349481090033384,-0.107204109794161
eff24h,0.21375422595608926,0.16564106923018043,0.04811315672590882
eff7d,0.0704227874954018,0.08449314920820247,-0.01407036171280067
extreme_pos7d,0.6532114362087813,0.7138826716543567,-0.0606712354455754
rv_ratio_4h24h,1.2105896086806065,1.1101137029374646,0.10047590574314191
btc_range_z,2.347318611468392,3.0842208667881685,-0.7369022553197766
btc_vol_z,1.552256724929509,1.3691199823293667,0.18313674260014223
impulse_strength,1.2005780138342395,1.3896244095667631,-0.1890463957325237
