feature,std_coefficient,abs_coefficient
signed_ret24h,0.21496849676454308,0.21496849676454308
impulse_strength,-0.16228951272729006,0.16228951272729006
signed_ret30d,-0.1493661219242326,0.1493661219242326
router_conf,-0.14768967192509902,0.14768967192509902
extreme_pos7d,-0.13718405227015548,0.13718405227015548
btc_vol_z,0.11855019874327484,0.11855019874327484
eff24h,0.08985375660137415,0.08985375660137415
signed_ret7d,-0.08112908648376375,0.08112908648376375
router_margin,0.06743349401165194,0.06743349401165194
btc_range_z,-0.06680889812544717,0.06680889812544717
eff7d,0.06630776503658622,0.06630776503658622
rv_ratio_4h24h,0.03601001728264454,0.03601001728264454
