impulse_dir,btc_z15,btc_z60,btc_z4h,btc_z24h,btc_vol_z,btc_range_z,btc_corr7d_lag,hour_sin,hour_cos,event_i,event_time,split,event_open,event_high,event_low,event_close,common_exit,raw_24h,cont_24h,rev_24h,tail_cont,tail_rev,p_cont,p_rev,router_conf,router_side,selected_top20,selected_rev,bucket,is_fresh_aug,signal_id,router_margin,signed_ret24h,signed_ret7d,signed_ret30d,eff24h,eff7d,extreme_pos7d,rv_ratio_4h24h,impulse_strength,filled,signal_net_R,gross_R,cost_R,outcome,fill_time,stop_frac
1.0,1.5980422492329682,2.9700658884122317,-0.16436493427990956,-1.9449879983046288,1.4621848596811813,1.9013823412752104,0.033209496367439376,0.49999999999999994,0.8660254037844387,2024,2021-01-22 02:00:00+00:00,DEV_2021_2024,30068.29,30585.52,29781.2,30462.5,32609.96,0.07049519901518253,0.07049519901518253,-0.07049519901518253,1,0,0.33103226068994956,0.3458768216979167,0.3458768216979167,REV,True,True,2021,False,3,0.01484456100796716,-0.13185925266094523,-0.25604224877455906,,0.18530556625510788,0.0798129387330665,0.15169831556071928,1.2318603292643404,1.0918562528713887,False,0.0,0.0,0.0,NO_FILL,,
-1.0,-0.4072688730613747,-2.409900166862128,-2.0992503263870628,-1.7004122014533702,1.1635174896138538,0.06893059862305231,-0.03545270603314512,-0.13052619222005177,-0.9914448613738104,5037,2021-02-22 12:30:00+00:00,DEV_2021_2024,53647.3,53979.4,53534.05,53534.06,47684.37,-0.10927043456072627,0.10927043456072627,-0.10927043456072627,1,0,0.18301976230896236,0.34844099545540214,0.34844099545540214,REV,True,True,2021,False,14,0.16542123314643978,0.06366765650740475,-0.11749372900883882,-0.5235488270076214,0.20016391395148628,0.05833076938193889,0.42458926547997344,1.4099510190187772,1.037188865740241,True,1.4401466430897045,1.5,0.05985335691029547,TP,2021-02-22 12:45:00+00:00,0.008353750329315185
1.0,0.9209966603500361,2.7219069656574955,-0.00815171628328924,-2.0895034963985415,0.26732943991530783,0.6971774370632007,0.0006046222563460848,-0.9659258262890684,0.2588190451025203,5063,2021-02-22 19:00:00+00:00,DEV_2021_2024,53227.23,53579.37,52942.33,53517.68,47057.34,-0.12071429091950725,-0.12071429091950725,0.12071429091950725,0,1,0.22380200099049297,0.35029707149793404,0.35029707149793404,REV,True,True,2021,False,15,0.12649507050744108,-0.08492908797346528,0.09643483306094758,0.5068323751657724,0.16373326772165095,0.04370576152922092,0.5739674584419313,1.2068338492210404,1.2112505274907939,True,-1.0422549604420444,-1.0,0.042254960442044395,SL,2021-02-22 20:00:00+00:00,0.011832930258822148
-1.0,-1.437095219824221,-2.4209265779115015,-2.3828287053229134,-2.3662488392173726,0.9603095241792543,1.3413861679257093,-0.012722366870438604,0.6087614290087207,0.7933533402912352,5093,2021-02-23 02:30:00+00:00,DEV_2021_2024,51993.13,52300.0,51500.0,51573.92,50055.72,-0.02944225191752925,0.02944225191752925,-0.02944225191752925,1,0,0.21661618234833468,0.396353758637867,0.396353758637867,REV,True,True,2021,False,16,0.1797375762895323,0.10011479542556163,-0.06351651124897822,-0.4780608326625118,0.16802479700831388,0.0277957697544096,0.631721772840795,0.844864657934469,1.029019757356648,True,1.4680163,1.5,0.031983700000000004,TP,2021-02-23 02:45:00+00:00,0.01563296304054878
-1.0,-4.28066194023785,-2.4332336118788604,-3.378170330638474,-3.261767765144086,1.786006116802977,4.79384958526938,-0.01452484769578558,0.8660254037844387,-0.4999999999999998,5115,2021-02-23 08:00:00+00:00,DEV_2021_2024,49642.92,50027.01,48320.0,48424.18,50491.91,0.042398991869636804,-0.042398991869636804,0.042398991869636804,0,1,0.26406611889783393,0.40372629202636334,0.40372629202636334,REV,True,True,2021,False,17,0.1396601731285294,0.14879896879173513,0.011906120782950067,-0.39088198549114483,0.2045162918066311,0.004886560252131247,0.9252450889029709,1.2794835990160325,1.0221389743517517,True,-1.0139339180789801,-1.0,0.01393391807898019,SL,2021-02-23 08:15:00+00:00,0.035883661520464065
-1.0,0.7238680548849589,-2.49592435134515,-1.8163528398325968,-2.9964413242013834,1.5098390313659853,1.4918972023351282,-0.010811371842690239,1.2246467991473532e-16,-1.0,5131,2021-02-23 12:00:00+00:00,DEV_2021_2024,46359.14,46818.47,46018.38,46576.69,50818.7,0.09107253542158178,-0.09107253542158178,0.09107253542158178,0,1,0.20876778788282715,0.3827090868068494,0.3827090868068494,REV,True,True,2021,False,18,0.17394129892402224,0.14067794492367475,0.05851190647177775,-0.3539165791223918,0.15931951269818317,0.022183471511904706,0.8748811313914162,1.4887859084981399,1.0559579993907604,True,1.4711428433051283,1.5,0.02885715669487169,TP,2021-02-23 12:30:00+00:00,0.01732672436466538
-1.0,-2.6148232930118733,-2.7028459506602776,-0.3345841158442429,-2.569035731892931,0.7844639383638082,2.68196482878316,0.03758785374430034,-0.9238795325112868,-0.3826834323650895,5149,2021-02-23 16:30:00+00:00,DEV_2021_2024,48194.59,48485.28,47300.0,47429.07,49577.25,0.04531583762422242,-0.04531583762422242,0.04531583762422242,0,1,0.1901167294605111,0.33312398255088405,0.33312398255088405,REV,True,True,2021,False,19,0.14300725309037293,0.1211064779287684,0.0288092758714733,-0.388937040096946,0.12888670872461272,0.010332022963464344,0.811555366026163,1.195188614458935,1.1051956606522493,False,0.0,0.0,0.0,NO_FILL,,
1.0,1.3445835277446345,2.8345788722641747,-0.24192998957480444,-2.7826754444363067,0.5509288489211841,1.073840128917164,0.037826139297689076,-0.7933533402912357,0.6087614290087199,5165,2021-02-23 20:30:00+00:00,DEV_2021_2024,46871.85,47479.97,46760.09,47269.48,48629.66,0.02889081282730932,0.02889081282730932,-0.02889081282730932,1,0,0.2705601942434961,0.36933592975369817,0.36933592975369817,REV,True,True,2021,False,20,0.09877573551020208,-0.13589294466479002,-0.026235304816904854,0.4165521677367574,0.13648295205548724,0.009065140346862049,0.17658823319643666,0.9678457305342874,1.1918680490626603,True,-1.0330814996943933,-1.0,0.0330814996943933,SL,2021-02-23 20:45:00+00:00,0.015114187827607487
1.0,1.4321141270475415,3.309642059582226,0.9058267369304316,-1.532688641143578,0.6627228790407865,0.7156954285243006,0.04450267335355621,0.3214394653031616,0.9469301294951057,5184,2021-02-24 01:15:00+00:00,DEV_2021_2024,48723.21,49359.55,48717.38,49166.12,50832.65,0.033791400597383614,0.033791400597383614,-0.033791400597383614,1,0,0.294878027939946,0.34493052690017395,0.34493052690017395,REV,True,True,2021,False,21,0.050052498960227954,-0.0704810818065436,0.0009224016344392114,0.4164224661867705,0.06717088774177324,0.0003073633066387815,0.3174950818113201,0.7372924891868196,1.3757461235192936,True,-1.0385312339411679,-1.0,0.0385312339411679,SL,2021-02-24 01:30:00+00:00,0.012976485538029587
-1.0,-2.5181844514401845,-2.657964037751314,-2.213055579361085,-1.6342015412159059,0.7753518765574821,1.6851461315351886,0.03427987787026371,0.06540312923014306,0.9978589232386035,5372,2021-02-26 00:15:00+00:00,DEV_2021_2024,47494.54,47613.5,46713.44,46752.35,46720.95,-0.0006716239932325063,0.0006716239932325063,-0.0006716239932325063,0,0,0.21207474409693788,0.3639233791608365,0.3639233791608365,REV,True,True,2021,False,23,0.15184863506389862,0.07347529047707968,0.10304344699067754,-0.3602022947140629,0.1618931417131355,0.029655188368203765,0.8618308440265552,1.4643988374291632,1.065530116771978,True,1.4742782036753104,1.5,0.025721796324689534,TP,2021-02-26 00:30:00+00:00,0.019438766783176256
-1.0,-2.4590044519388776,-2.71026016487471,-0.9921662635935519,-2.128505002597663,1.2187967502991717,1.795306574826616,0.02992584214375842,0.9978589232386035,0.06540312923014327,5394,2021-02-26 05:45:00+00:00,DEV_2021_2024,46223.69,46414.31,45502.69,45517.53,47803.71,0.0500690289921768,-0.0500690289921768,0.0500690289921768,0,1,0.2409916265054947,0.36193050883433875,0.36193050883433875,REV,True,True,2021,False,24,0.12093888232884406,0.10166743253327869,0.12395116247199182,-0.35826840944480653,0.19797215133720159,0.03459438006073941,0.9535691785584803,1.2126521309614986,1.0879546701688627,False,0.0,0.0,0.0,NO_FILL,,
-1.0,-0.3299167060160787,-2.6391872860325565,-0.6828693861480178,-0.11983262371666527,0.4510253515027906,0.1890128772509553,-0.031572085012952875,0.8660254037844386,0.5000000000000001,5963,2021-03-04 04:00:00+00:00,DEV_2021_2024,49574.89,49811.66,49338.54,49485.62,47138.01,-0.0474456360296569,0.0474456360296569,-0.0474456360296569,1,0,0.15395479761358424,0.34960717001629343,0.34960717001629343,REV,True,True,2021,False,26,0.1956523724027092,-0.007144702602704284,0.011671397581699283,-0.38578794402240474,0.017127932473375417,0.003795644741169963,0.32721784232365114,1.1111147763672042,1.062483688569815,True,1.447952887216774,1.5,0.052047112783225956,TP,2021-03-04 04:45:00+00:00,0.00960668081786744
-1.0,-0.6065706499938499,-2.7744557137562627,-2.0381408014739057,-1.5391256679228895,1.3954745687594012,0.6461623082568745,-0.09632581723741604,0.25881904510252074,0.9659258262890683,10265,2021-04-18 01:00:00+00:00,DEV_2021_2024,59386.59,59665.43,59256.99,59271.37,57060.23,-0.03730552587100211,0.03730552587100211,-0.03730552587100211,1,0,0.17985247692273282,0.32916356272592795,0.32916356272592795,REV,True,True,2021,False,47,0.14931108580319513,0.039236046680850414,0.01421201643306563,-0.03827684447582686,0.1693015631862124,0.009250208527411496,0.9930890085884846,1.2440747893070712,1.0648676607713925,True,1.4276917662324948,1.5,0.07230823376750523,TP,2021-04-18 01:15:00+00:00,0.0069148418367908785
