period,n,ev,atr_mean,ext_mean,top_n,top_ev,top_ext_mean,low_n,low_ev,low_ext_mean,marginal_atr_effect_at_period_mean_ext
2021,62,0.2379115449934876,0.5092987143909726,9.370561725779966,10,0.9134106623629081,9.361063396542797,23,-0.08024072245913745,8.780811452656115,0.264507517911339
2022,49,-0.04007915800385439,0.42221749811035525,14.476725786414278,5,-0.03351106249908668,13.847608242859092,26,-0.18993547004551353,16.283089144430217,0.4661260905253423
2023,52,-0.006006895175518967,0.6059561965811967,10.733523904668154,14,0.20946871951713325,7.33474705872744,14,-0.09370195451439366,14.353463931893812,0.3183245292276913
2024,64,0.08421963210031048,0.6566786024305555,10.237846358580244,22,0.09322794776782205,8.82468245277141,12,0.012524994082448967,13.171027421547691,0.2987525377812117
2025_H1,32,-0.11448512025517453,0.45889033564814813,12.606675116019073,4,-0.41735957105072896,5.642715316266285,14,-0.1913384706613288,16.07285903902475,0.3922865228178167
2025_H2,33,0.11684239681877,0.5961033950617284,13.985232278310155,8,0.36564093541981946,9.018103736116988,8,-0.2206117447583741,22.628627662666315,0.44671930719909486
2026_JAN_JUL,35,0.29031226066630084,0.493693783068783,11.921749694196755,7,0.9298399678600392,8.970841619419547,14,0.17287787625955695,16.06517216627462,0.36524201655929567
